#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Water Detect,Button Down,Button Up,Host Connected,End of File
1,11/15/2023 07:49:53,,In,,,,
2,11/15/2023 08:00:00,23.550,,,,,
3,11/15/2023 08:10:00,23.474,,,,,
4,11/15/2023 08:20:00,23.453,,,,,
5,11/15/2023 08:30:00,29.834,,,,,
6,11/15/2023 08:40:00,31.443,,,,,
7,11/15/2023 08:50:00,30.692,,,,,
8,11/15/2023 09:00:00,29.738,,,,,
9,11/15/2023 09:10:00,30.617,,,,,
10,11/15/2023 09:20:00,29.920,,,,,
11,11/15/2023 09:30:00,30.907,,,,,
12,11/15/2023 09:40:00,30.553,,,,,
13,11/15/2023 09:50:00,29.802,,,,,
14,11/15/2023 10:00:00,30.843,,,,,
15,11/15/2023 10:10:00,30.156,,,,,
16,11/15/2023 10:20:00,30.735,,,,,
17,11/15/2023 10:30:00,30.574,,,,,
18,11/15/2023 10:40:00,29.792,,,,,
19,11/15/2023 10:50:00,30.864,,,,,
20,11/15/2023 11:00:00,30.210,,,,,
21,11/15/2023 11:10:00,30.585,,,,,
22,11/15/2023 11:20:00,30.553,,,,,
23,11/15/2023 11:30:00,29.781,,,,,
24,11/15/2023 11:40:00,31.046,,,,,
25,11/15/2023 11:45:11,,,Logged,Logged,,
26,11/15/2023 11:45:24,,,Logged,Logged,,
27,11/15/2023 11:45:25,,,,Logged,,
28,11/15/2023 11:50:00,30.178,,,,,
29,11/15/2023 12:00:00,30.875,,,,,
30,11/15/2023 12:10:00,30.703,,,,,
31,11/15/2023 12:20:00,30.199,,,,,
32,11/15/2023 12:30:00,29.749,,,,,
33,11/15/2023 12:40:00,30.982,,,,,
34,11/15/2023 12:50:00,30.692,,,,,
35,11/15/2023 13:00:00,30.188,,,,,
36,11/15/2023 13:10:00,29.738,,,,,
37,11/15/2023 13:20:00,31.003,,,,,
38,11/15/2023 13:30:00,30.789,,,,,
39,11/15/2023 13:40:00,30.339,,,,,
40,11/15/2023 13:50:00,29.834,,,,,
41,11/15/2023 14:00:00,30.971,,,,,
42,11/15/2023 14:10:00,30.768,,,,,
43,11/15/2023 14:20:00,30.296,,,,,
44,11/15/2023 14:30:00,29.856,,,,,
45,11/15/2023 14:40:00,30.928,,,,,
46,11/15/2023 14:50:00,30.800,,,,,
47,11/15/2023 15:00:00,30.156,,,,,
48,11/15/2023 15:10:00,30.692,,,,,
49,11/15/2023 15:20:00,30.607,,,,,
50,11/15/2023 15:30:00,29.888,,,,,
51,11/15/2023 15:40:00,30.789,,,,,
52,11/15/2023 15:50:00,30.360,,,,,
53,11/15/2023 16:00:00,29.985,,,,,
54,11/15/2023 16:10:00,30.757,,,,,
55,11/15/2023 16:20:00,30.113,,,,,
56,11/15/2023 16:30:00,30.660,,,,,
57,11/15/2023 16:40:00,30.585,,,,,
58,11/15/2023 16:50:00,29.995,,,,,
59,11/15/2023 17:00:00,30.768,,,,,
60,11/15/2023 17:10:00,30.446,,,,,
61,11/15/2023 17:20:00,29.910,,,,,
62,11/15/2023 17:30:00,30.875,,,,,
63,11/15/2023 17:40:00,30.124,,,,,
64,11/15/2023 17:50:00,30.928,,,,,
65,11/15/2023 18:00:00,30.757,,,,,
66,11/15/2023 18:10:00,30.038,,,,,
67,11/15/2023 18:20:00,30.843,,,,,
68,11/15/2023 18:30:00,30.414,,,,,
69,11/15/2023 18:40:00,29.834,,,,,
70,11/15/2023 18:50:00,30.950,,,,,
71,11/15/2023 19:00:00,30.435,,,,,
72,11/15/2023 19:10:00,29.834,,,,,
73,11/15/2023 19:20:00,30.950,,,,,
74,11/15/2023 19:30:00,30.682,,,,,
