sample_id,Am,AQY,theta,Rd,Ik,Ic
ACR-A1,4.902497825550562e-4,1.6267838626765817e-6,0.9101329032818557,2.1484412489511276e-4,301.3613509470385,146.92683593552894
ACR-A2,4.331096978609636e-4,1.4248173120243588e-6,0.7196458972923211,1.3947126232849091e-4,303.975600384591,103.39476596723705
ACR-A3,5.158482368072405e-4,1.977979337424414e-6,0.8954517938044116,2.0185963420616375e-4,260.79556396122007,110.89676701340414
ACR-A5,3.1508030569812884e-4,1.785928278193729e-6,0.8634992890917415,1.1984670240874017e-4,176.4238293022596,72.56009782646143
ACR-R1,2.3178948226629852e-4,1.0349328587907476e-6,0.6936134830544979,1.1404885015586612e-4,223.96571941597216,126.58222198180879
ACR-R10,2.784386954429918e-4,1.454570162495863e-6,0.957333277736521,1.187966232927822e-4,191.42335146296782,90.30283942110668
ACR-R2,2.8986690859186343e-4,1.952290280836268e-6,0.8700263403145077,1.0745777706308827e-4,148.47531201543364,59.26469269586403
ACR-R3,5.48211137928781e-4,3.185131060824862e-6,0.7466265717384843,2.2506260722610704e-4,172.1157237990732,77.49187476147772
ACR-R4,3.637759621174414e-4,1.3771829761743787e-6,0.8064560278423885,1.3305284780473946e-4,264.14497449566215,103.80483642843475
ACR-R5,3.093897984321308e-4,3.3197694336791285e-6,0.8683942970036723,1.8798706247769877e-4,93.196170581416,71.29663018965226
ACR-R7,4.821008107343319e-4,1.9085930397639497e-6,0.4923124725401311,1.1664443014150797e-4,252.59486998546163,62.98682543435704
POC-A1,5.66376875928952e-4,1.8454543657953304e-6,0.9225186606243446,2.9010825396021757e-4,306.90375575061273,183.03603276788482
POC-A2,3.944158554397915e-4,1.9004696937627387e-6,0.9431712821016894,1.5093415813308259e-4,207.53598793721767,85.96271608843674
POC-A3,2.710858544526041e-4,1.547446230976998e-6,0.9079427473022711,1.3387950769075467e-4,175.18272947128568,99.49685553599872
POC-A4,4.8757212724261843e-4,1.749974643840917e-6,0.821625177951704,1.6494759731927182e-4,278.6166810808612,100.16306232260169
POC-R1,4.6613386676351803e-4,1.633990008482565e-6,0.9931221297190569,2.0810638614533733e-4,285.2733886643541,142.3332444727116
POC-R2,3.9340991490363603e-4,1.4774031215516129e-6,0.8849981337976948,1.47428337047327e-4,266.28474596051024,107.63221152942249
POC-R5,2.613793605218072e-4,1.1217251790732029e-6,0.9867947604886668,7.754849980860452e-5,233.01550629162597,72.39280059071352
POC-R7,4.2577447614444843e-4,2.3427605476842078e-6,0.930845112008934,1.748176665068954e-4,181.74050120714287,81.83662772674404
POC-R8,5.031971594562827e-4,2.435671299676079e-6,0.9132635018202755,2.0362586349068984e-4,206.59485519380354,91.42121702939221
POR-A1,9.015222244247133e-4,3.1943048833170255e-6,0.9295809687908196,3.5431869401829764e-4,282.22798303728473,120.62918081277648
POR-A2,7.659156869813994e-4,4.076166189586756e-6,0.8230673038948593,3.062118887638505e-4,187.90099602367988,81.95752809472373
POR-A3,6.416153953344902e-4,3.288544924338942e-6,0.950313855702812,2.568149656846917e-4,195.10616704239388,85.21800076573376
POR-A4,5.286814173720262e-4,2.912052122268286e-6,0.9199890968632519,2.532453734288326e-4,181.5494349600515,99.07018837960229
POR-R1,4.992334182706662e-4,4.828943299649247e-6,0.7700563654661645,2.4041816832321282e-4,103.3835742711927,56.80810459174579
POR-R2,6.080053309876199e-4,3.526142202973854e-6,0.8663014196883783,2.728528802772628e-4,172.4279101605274,86.58883647284945
POR-R3,2.5655853255236494e-4,1.4041160945389505e-6,0.9080015527042689,8.045691699705779e-5,182.71888880855496,60.34485625622697
POR-R8,5.126294616569347e-4,1.3232638792667969e-5,-6.8554708493502075,1.4103395681658792e-4,38.73977591990011,11.085836742311603
