"","Date","Plate","Temp.C","Light"
"25","20231115","1",28.6548192771084,1
"24","20231115","1",28.9420338983051,2
"241","20231115","2",29.5710843373494,1
"242","20231115","2",30.0957627118644,2
"243","20231115","3",28.4483544303797,1
"244","20231115","3",28.5045762711864,2
"245","20231115","4",28.3439240506329,1
"246","20231115","4",28.2425423728814,2
"247","20231115","5",31.1659493670886,1
"248","20231115","5",31.5843037974684,2
"249","20231115","6",31.5091139240506,1
"2410","20231115","6",31.9460759493671,2
