Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,13C-Blank_1,13C-Blank_2,12C-Ctrl_Acropora-unlabeled_1,12C-Ctrl_Pocillopora-unlabeled_1,13C-Ctrl_Acropora-dark_1,13C-Ctrl_Pocillopora-dark_1,13C-Larvae_Pocillopora-27_1,13C-Larvae_Pocillopora-27_2,13C-Larvae_Pocillopora-27_3,13C-Larvae_Pocillopora-27_4,13C-Larvae_Pocillopora-27_5,13C-Larvae_Pocillopora-27_6,13C-Larvae_Pocillopora-30_1,13C-Larvae_Pocillopora-30_2,13C-Larvae_Pocillopora-30_3,13C-Larvae_Pocillopora-30_4,13C-Larvae_Pocillopora-30_5,13C-Larvae_Pocillopora-30_6,13C-Larvae_Pocillopora-33_1,13C-Larvae_Pocillopora-33_2,13C-Larvae_Pocillopora-33_3,13C-Larvae_Pocillopora-33_4,13C-Larvae_Pocillopora-33_5,13C-Larvae_Pocillopora-dark_1,13C-Larvae_Pocillopora-dark_2,13C-Larvae_Pocillopora-dark_3,13C-Recruit_Acropora-27_1,13C-Recruit_Acropora-27_2,13C-Recruit_Acropora-27_3,13C-Recruit_Acropora-27_4,13C-Recruit_Acropora-27_5,13C-Recruit_Acropora-30_1,13C-Recruit_Acropora-30_2,13C-Recruit_Acropora-30_3,13C-Recruit_Acropora-30_4,13C-Recruit_Acropora-30_5,13C-Recruit_Acropora-30_6,13C-Recruit_Acropora-33_1,13C-Recruit_Acropora-33_2,13C-Recruit_Acropora-33_3,13C-Recruit_Acropora-33_4,13C-Recruit_Acropora-33_5,13C-Recruit_Acropora-dark_1,13C-Recruit_Pocillopora-27_1,13C-Recruit_Pocillopora-27_2,13C-Recruit_Pocillopora-27_3,13C-Recruit_Pocillopora-27_4,13C-Recruit_Pocillopora-27_5,13C-Recruit_Pocillopora-30_1,13C-Recruit_Pocillopora-30_2,13C-Recruit_Pocillopora-30_3,13C-Recruit_Pocillopora-30_4,13C-Recruit_Pocillopora-33_1,13C-Recruit_Pocillopora-33_2,13C-Recruit_Pocillopora-33_3,13C-Recruit_Pocillopora-33_4,13C-Recruit_Pocillopora-33_5,13C-Recruit_Pocillopora-dark_1
Glutathione disulfide,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysine,0,8817.380317,5332.445084,11285.90172,14355.48229,10719.10588,10346.4756,137905.3421,2759644.293,2840907.997,3550857.301,1740237.971,8040142.272,104936.0752,110095.743,121362.8667,94593.41038,59683.23781,131892.4239,78051.99603,73943.68397,68611.53565,65144.40226,72744.07077,59261.74285,58508.41061,109186.6959,77350.92326,108288.1039,99258.90703,83002.97488,117004.5155,117774.5682,666274.1002,1856092.316,484690.1667,1578716.349,1022697.052,687761.4258,1093588.084,1268847.884,803888.138,1323428.949,518454.9312,2223514.764,1280036.185,560183.496,1218687.502,2497430.643,1159387.533,904969.9758,1386336.313,673585.4769,1938200.147,1865222.066,5162370.524,532269.7637,1657915.193,3047274.644,4750669.164,6280012.578,2069430.496,991136.1981,1658967.3,4083745.221
Lysine,1,130.3162045,475.1284186,13.43786055,0,37.14887099,233.0875306,0,4720.991157,0,2544.775745,8324.855262,18805.32789,1111.066313,1836.38537,0,1276.156204,829.675041,847.5112682,690.2269034,655.1807914,700.2681805,1205.949772,926.7696018,1370.035276,1689.627734,1461.863275,564.2512003,1545.740911,865.3595717,0,0,111.3287773,0,15894.38967,0,28574.06329,8178.171372,0,3006.385327,2330.073758,3837.554817,3859.12597,4470.296317,7791.353259,2061.314106,2800.767738,3542.307187,10657.93481,9312.370269,1300.631843,5189.425342,2572.868161,569.774515,9866.061709,26891.77648,320.4583847,3592.411531,8884.293886,24250.69601,31994.79393,5903.868907,9526.986103,9955.403588,31346.96417
Lysine,2,0,0,0,0,0,0,0,8454.72457,0,0,0,0,1723.803284,72.50381184,375.9075563,355.3307349,0,1733.79837,555.6249879,302.9139947,606.0696324,0,309.5253747,576.8932676,437.9004191,2047.15365,3541.780929,3743.720797,2405.982959,0,43.02902232,0,471.3882819,17449.50608,2069.292435,43303.15501,9965.438247,3310.725647,0,0,11887.0925,4528.782489,3374.990602,1026.293823,0,2011.661312,0,13375.51583,0,702.6938957,10655.16322,1703.595498,10082.21693,21051.58011,49841.38887,2838.576235,4246.00772,8578.415715,65873.75486,55132.90584,18267.25137,11282.57021,14167.0765,0
Lysine,3,0,0,0,0,0,0,0,33309.551,0,0,0,0,2356.962837,3349.460707,3408.398255,4353.167701,947.726863,3507.359914,1071.675049,3494.91792,1428.038915,2211.035315,1212.877157,929.9317773,4777.023134,5204.768185,2897.834726,6480.632763,5006.63382,0,0,0,4870.896936,38931.35806,6046.231113,63377.7178,22842.13893,14182.81006,8804.387892,9552.154364,34842.8361,17942.54833,9713.916021,24154.25837,4222.629089,10646.66217,8035.636301,36444.4134,0,9779.549302,37026.60302,8044.668336,36773.19373,35195.43241,130374.6942,10607.46538,26108.04642,35285.44748,160843.8389,140069.9686,50793.59136,25197.91482,38649.79341,0
Lysine,4,0,0,0,0,0,0,570.3690715,27175.31275,0,0,0,0,2320.255887,1604.105657,859.9844325,3127.775529,429.0750788,3624.91103,384.5974646,775.2718985,624.8498134,0,418.2798669,566.7506946,2042.089379,4146.607367,4337.182676,4987.891697,3381.392869,0,0,0,4552.202494,36089.28711,5776.883996,44659.29927,22127.34375,12330.7047,7986.233602,10114.01729,30562.93162,17949.87927,10122.36049,24686.98647,4396.530188,9019.495679,8475.083093,33057.12757,0,9854.337738,42997.07273,6727.347452,34214.33078,23529.94812,140457.2951,9197.447066,26074.8601,41429.97677,153874.8853,130420.5292,46931.02387,31637.59342,37840.68616,0
Lysine,5,3833.374357,4161.390194,6272.017894,14722.38358,16164.64325,13324.45754,14920.44886,12572.99792,18076.38749,16900.80946,16012.61942,6798.660336,8417.510491,14012.72911,8347.641393,5997.366906,11361.39002,7570.635428,16036.46846,8477.386739,10976.8464,17556.2983,16593.34402,12879.25088,11944.16915,10633.21474,10315.63613,9738.380341,5557.337523,14981.25116,13965.9068,20306.30201,12945.99418,16198.72473,18915.29419,12840.04623,16039.90875,14881.07871,7405.549881,8591.051766,14344.62368,5321.393291,8545.74572,14423.52916,17109.80451,8686.661763,11420.17759,12463.33414,17879.3155,6027.463861,23099.63013,4594.796338,15150.67602,5107.693202,84183.35881,12550.58644,12294.45074,18773.38862,85238.90705,68696.38248,19672.30243,15077.86349,15155.90631,14439.89597
Lysine,6,832.4309898,847.9620016,1072.387703,561.3578305,0,755.0726557,1224.204167,2436.676056,648.7611368,1187.169594,846.6850874,0,734.3328548,726.1504374,784.7401389,763.4247925,600.0640158,811.9725071,498.6901126,1100.092982,920.6211301,720.151485,812.9786528,470.3352409,672.212668,659.5137701,851.2993004,860.6660889,743.5303456,979.7610137,859.3933933,479.3519488,713.7616215,3289.148409,557.8746361,922.7926989,1335.628587,629.6760458,786.3850885,564.8549054,4468.980478,1028.666939,897.03371,3235.783792,831.7420549,0,670.6084162,3228.693393,842.7825709,1335.634658,8181.875259,809.4808089,3470.216705,873.5081924,20536.11052,820.6181372,1261.806891,5838.329094,16874.42307,15250.86854,5355.264975,2891.545032,4116.329168,564.3836254
NADP+,0,0,0,0,0,0,0,1542.495112,1269.879292,0,48144.77223,1143.498721,15691.22805,5121.427251,5357.486801,4869.070725,7288.43078,1707.5027,10472.97641,4085.065371,3776.910528,2547.536771,1655.06954,4853.204278,3333.784486,2742.403293,7437.947466,4352.378061,4905.064033,6767.504961,8511.543369,8903.7044,9961.21592,0,1431.34888,0,1415.632707,0,0,1479.749683,0,1071.254417,1296.239885,2411.361834,3088.346939,0,0,1059.445372,0,0,2238.458887,5073.248871,10256.18831,20321.99791,36267.55315,5396.766698,1051.004973,21255.2737,11738.11672,8300.613362,5068.697182,7793.439881,2082.097707,1832.393053,17004.30904
NADP+,1,0,0,0,0,0,0,667.4112285,0,1228.017283,1079.126969,0,0,0,0,0,0,0,169.0557812,0,129.3508256,586.5863286,0,0,772.4356237,0,0,0,0,0,1333.863832,0,0,0,0,0,0,0,0,0,1225.934069,0,0,0,0,0,0,0,0,1667.173953,0,0,452.6630729,2279.867537,0,0,0,0,765.6910576,137.3686992,454.7212878,817.5579796,770.2063783,0,0
