label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,12C_Ctrl_Acropora_unlabeled_1,12C_Ctrl_Pocillopora_unlabeled_1,13C_Blank_1,13C_Blank_2,13C_Ctrl_Acropora_dark_1,13C_Ctrl_Pocillopora_dark_1,13C_Larvae_Pocillopora_27_1,13C_Larvae_Pocillopora_27_2,13C_Larvae_Pocillopora_27_3,13C_Larvae_Pocillopora_27_4,13C_Larvae_Pocillopora_27_5,13C_Larvae_Pocillopora_27_6,13C_Larvae_Pocillopora_30_1,13C_Larvae_Pocillopora_30_2,13C_Larvae_Pocillopora_30_3,13C_Larvae_Pocillopora_30_4,13C_Larvae_Pocillopora_30_5,13C_Larvae_Pocillopora_30_6,13C_Larvae_Pocillopora_33_1,13C_Larvae_Pocillopora_33_2,13C_Larvae_Pocillopora_33_3,13C_Larvae_Pocillopora_33_4,13C_Larvae_Pocillopora_33_5,13C_Larvae_Pocillopora_dark_1,13C_Larvae_Pocillopora_dark_2,13C_Larvae_Pocillopora_dark_3,13C_Recruit_Acropora_27_1,13C_Recruit_Acropora_27_2,13C_Recruit_Acropora_27_3,13C_Recruit_Acropora_27_4,13C_Recruit_Acropora_27_5,13C_Recruit_Acropora_30_1,13C_Recruit_Acropora_30_2,13C_Recruit_Acropora_30_3,13C_Recruit_Acropora_30_4,13C_Recruit_Acropora_30_5,13C_Recruit_Acropora_30_6,13C_Recruit_Acropora_33_1,13C_Recruit_Acropora_33_2,13C_Recruit_Acropora_33_3,13C_Recruit_Acropora_33_4,13C_Recruit_Acropora_33_5,13C_Recruit_Acropora_dark_1,13C_Recruit_Pocillopora_27_1,13C_Recruit_Pocillopora_27_2,13C_Recruit_Pocillopora_27_3,13C_Recruit_Pocillopora_27_4,13C_Recruit_Pocillopora_27_5,13C_Recruit_Pocillopora_30_1,13C_Recruit_Pocillopora_30_2,13C_Recruit_Pocillopora_30_3,13C_Recruit_Pocillopora_30_4,13C_Recruit_Pocillopora_33_1,13C_Recruit_Pocillopora_33_2,13C_Recruit_Pocillopora_33_3,13C_Recruit_Pocillopora_33_4,13C_Recruit_Pocillopora_33_5,13C_Recruit_Pocillopora_dark_1
,442,453,5,250.09256,2.939,0.830693,,C13-label-5,Uridine,Uridine,C9H12N2O6,0.289,4.148838,245.076752,0,0,0,0,0,0,2285.81,21328.17,3894.06,2385.05,0,29749.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2561.47,6844.18,2354.31,4736.96,2086.47,1691.03,14556.76,7819.28,7852.23,5315.13,0,7020.79,0,0,3127.85,4611.04,0,1858.69,3226.98,0,0,1414.99,9065.09,6292.84,1512.31,2293.71,4259.17,17074.33,0,0,0,4572.39
,454,454,61,268.103729,2.635,0.84782,[M+H]+,C12 PARENT,Adenosine,Adenosine,C10H13N5O4,0.035,1.138274,268.103729,2170.33,2254.67,13956.09,10456.57,14938.45,0,71874608,10544356,58532820,12746896,68308632,47687204,186976.95,320783.12,92121.88,144027.48,54449.22,581976.44,16247.29,130337.56,24807.29,25351.31,3121821.75,130672.56,44322.18,84072.45,89536.34,107349.41,93818.96,871373.5,55469.12,45582.76,26271552,61663264,34837488,42501952,45385884,43408756,62549376,44976140,41713556,50499808,13473852,35856172,24203296,15951357,47822620,42705700,41284752,8667181,6535552.5,1600162,4976536,6585906.5,31864442,1136168.38,10873381,16107273,10037636,10278857,3731808.75,1342238.12,3633443.25,13486753
,454,455,53,269.1073,2.638,0.848899,,C13-label-1,Adenosine,Adenosine,C10H13N5O4,0.038,0.226806,268.103729,0,0,0,0,0,0,7781030.5,1137989,7337824,1550031,9006583,5809874,34146.51,45339.55,15339.25,25744.57,8902.6,89777.48,6281.06,20400.53,0,2187.49,497431.25,19185.65,5896.98,9670.75,11648.24,15568.19,11461.76,88512.19,2895.79,2992.24,3336714,8078640.5,4634723,5630009.5,5659052,5717256,7976622.5,6182930.5,5803922.5,6800648,1821135.12,4603603.5,3267247.25,2317713.75,6288854.5,5622866.5,5341390,1091311,843544.69,192724.02,592154.69,821891.06,4102628.25,148029.58,1374695,1954095,1207628.62,1244643.62,467257.12,179146.83,495472.62,1614434
,454,465,44,270.110535,2.705,0.842477,,C13-label-2,Adenosine,Adenosine,C10H13N5O4,0.105,0.67789,268.103729,0,0,0,0,0,0,624947.56,86200.79,952489.81,184324.73,681421.75,412760.38,7779.46,3976.91,2082.22,2170.03,2637.81,21136.12,4563.96,4224.71,2222.1,1440.48,129282.98,2596.75,1338.06,2639.82,2821.49,3410.38,2374.1,3820.3,4102.15,7443.28,634234.94,1641577.5,829965.31,1126887.12,976182.81,1293993.5,1632481.62,1729243.62,1486515.5,1582274.12,379025.03,977646.94,659027.81,551053.06,1538006.62,1378899.38,480507.59,172635.11,105418.9,28983.29,86846.09,113727.21,666747.19,29481.56,197710.38,307055,200598.5,198341.95,77602.25,42537.28,86570.84,135138.11
,454,466,39,271.114166,2.656,0.850867,,C13-label-3,Adenosine,Adenosine,C10H13N5O4,0.056,0.337691,268.103729,2965.37,3049.71,2106.61,2095.1,3061.21,3183.7,13959.03,6484.38,564167.81,79636.51,27725.1,16016.71,3579.26,7059.32,2495.06,4744.95,0,19211.95,0,6827.6,2148.14,0,80821.12,2583.42,2541.12,2688.16,1587.07,2626.22,2119.51,2168.43,2774.22,2652.48,549926,1262679.62,661197.62,855489.81,712346.56,1094539.25,1259419.12,1617136.62,1458546.5,1352322,292211.75,665437.81,414557.38,445542.16,1042282.25,1100797.12,41101.43,84284.52,70797.22,16328.57,44061.45,67203.27,353622.88,14010.01,113830.53,169366.19,116488.79,106614,31916.6,30907.16,49797.38,4134.24
,454,467,37,272.117157,2.65,0.849672,,C13-label-4,Adenosine,Adenosine,C10H13N5O4,0.05,1.009337,268.103729,0,0,0,0,0,0,16483.24,4452.79,449926.59,61419.56,16413,55096.27,2159.46,2377.97,0,1761.79,0,11069.09,0,0,0,0,36430.11,0,0,1994.32,0,2624.67,0,1555.88,0,0,454123.66,921224.06,500814.66,619782.19,602944.06,883880.44,941960.69,1238919.12,1236945.62,1085713.62,257896.77,568663.44,366705,344464.25,888485,990219.56,2623.31,66672.43,61958.71,10175.24,34060.11,41324.3,262595.44,11883.19,84995.91,118827.53,77741.48,99307.32,22040.52,26637.34,37254.14,7922.84
,454,468,19,273.120575,2.635,0.805475,,C13-label-5,Adenosine,Adenosine,C10H13N5O4,0.035,0.782156,268.103729,0,0,0,0,0,0,0,0,199317.45,29638.33,0,5280.9,0,0,0,0,0,7084.09,0,0,0,0,17023.62,0,0,2299.88,0,2884.83,0,0,0,0,273573.47,432164.16,263978.66,346643.34,336204.59,494153.88,488823.75,664804.75,630346.31,535481.38,137121.11,418195.12,271913.91,199613.25,697307.69,701484.25,0,36263.19,38065.61,3011.77,13108.73,15205.54,141181.7,6383.54,36899.48,53248.22,61797.37,60510.1,16056.02,15700.79,35405.53,0
,454,469,21,274.123932,2.636,0.846408,,C13-label-6,Adenosine,Adenosine,C10H13N5O4,0.036,0.779293,268.103729,0,0,0,0,0,0,0,0,99064.45,15511.62,3987.88,0,1897.02,0,0,0,0,2877.82,0,0,0,0,6315.12,0,0,0,0,0,0,0,0,0,132187.02,178289.62,117933.23,165990.56,185811.95,229168.19,180638.17,250488.08,254596.33,221099.05,72356.22,316097.59,209697.12,97960.81,483822.59,525326.69,0,22941.92,21285.38,0,2835.5,9286.62,75046.06,2403.98,18476.06,19697.28,41731.37,31544.56,9302.09,6739.13,28067.29,0
,454,470,24,275.126953,2.622,0.843884,,C13-label-7,Adenosine,Adenosine,C10H13N5O4,0.022,1.996588,268.103729,0,0,0,0,0,2033.9,0,3376.18,38186.68,6953.66,0,12620.74,0,0,0,0,0,1119.36,0,0,0,0,3207.01,0,0,0,0,0,0,0,0,0,66537.52,76669.41,51484.91,74850.98,92927.76,106403.4,74849.75,98606.29,118833.52,87346.2,36297.53,178372.42,116464.3,52447.49,256588.25,307254.28,0,13889.64,12444.67,0,4253.76,2529.21,42789.23,2329.62,9072.6,15413.16,20056.73,14990.22,2815.87,7387.04,15054.08,0
,454,471,16,276.130524,2.664,0.851105,,C13-label-8,Adenosine,Adenosine,C10H13N5O4,0.064,1.215704,268.103729,0,0,0,0,0,0,0,0,13228.78,2571.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1799.87,0,0,0,0,0,0,0,0,34225.72,19846.59,15833.77,9933.09,34183.09,31814.64,28485.69,25056.94,36408.81,33411.85,18170.28,72954.41,45004.87,24469.2,102506.07,120483.41,0,3333.78,3196.85,0,1946.91,2172.67,9707.57,0,0,2345.81,6638.69,3123.94,1955.72,2174.14,3484.27,0
