well,colony_id
A1,POC-R24
A2,POC-A12
A3,ACR-A17
A4,ACR-A13
A5,BK
A6,POR-R17
A7,POR-R30
A8,POC-R22
A9,POC-R28
A10,POC-R18
A11,ACR-A7
A12,ACR-A10
B1,POC-R24
B2,POC-A12
B3,ACR-A17
B4,ACR-A13
B5,BK
B6,POR-R17
B7,POR-R30
B8,POC-R22
B9,POC-R28
B10,POC-R18
B11,ACR-A7
B12,ACR-A10
C1,POC-A16
C2,POR-R21
C3,POC-R20
C4,POC-A6
C5,ACR-R12
C6,ACR-R16
C7,POC-R16
C8,POC-R21
C9,POR-R11
C10,ACR-R28
C11,ACR-A6
C12,POR-R29
D1,POC-A16
D2,POR-R21
D3,POC-R20
D4,POC-A6
D5,ACR-R12
D6,ACR-R16
D7,POC-R16
D8,POC-R21
D9,POR-R11
D10,ACR-R28
D11,ACR-A6
D12,POR-R29
E1,POC-A11
E2,POC-R13
E3,POC-R14
E4,ACR-R26
E5,POC-R15
E6,POC-R12
E7,POR-A15B
E8,POR-R18
E9,POC-R27
E10,ACR-R23
E11,POR-R16
E12,POR-A10
F1,POC-A11
F2,POC-R13
F3,POC-R14
F4,ACR-R26
F5,POC-R15
F6,POC-R12
F7,POR-A15B
F8,POR-R18
F9,POC-R27
F10,ACR-R23
F11,POR-R16
F12,POR-A10
G1,POC-R11
G2,BK
G3,POC-R19
G4,POR-A12
G5,POC-R23
G6,POR-R15
G7,POR-R26
G8,ACR-A15
G9,ACR-R18
G10,POC-A13
G11,POR-R13
G12,ACR-R24
H1,POC-R11
H2,BK
H3,POC-R19
H4,POR-A12
H5,POC-R23
H6,POR-R15
H7,POR-R26
H8,ACR-A15
H9,ACR-R18
H10,POC-A13
H11,POR-R13
H12,ACR-R24
