Date,sample_id,Species,Lifestage,Hour.Exposure,Chamber.Channel,Position,Run,Temp.Cat,Tank,Time.Loaded,Time.Temp.Reached,Time.5h,Time.Measured,Time.Sampled,Total.Incubation,Chamber.Vol.L,Notes
20231108,POC-R13,Pocillopora,Recruit,4,16,P2-7,Run3,30,2,13:00,13:30,18:30,17:30,18:30,5,,
20231108,POR-A7,Porites,Adult,4,17,P2-8,Run3,30,2,13:00,13:30,18:30,17:30,18:30,5,,
20231108,,,,4,18,P2-9,Run3,30,2,13:00,13:30,18:30,,,,,
20231109,,Pocillopora,Adult,4,1,P1-1,Run4,30,,,,,,,,,
20231109,,Pocillopora,Recruit,4,2,P2-7,Run4,30,,,,,,,,,
20231109,,Porites,Adult,4,3,P2-3,Run4,30,,,,,,,,,
20231109,,Acropora,Recruit,4,4,P2-5,Run4,30,,,,,,,,,
20231109,,Porites,Recruit,4,5,P1-3,Run4,30,,,,,,,,,
20231109,BK-7,Blank,Blank,4,6,P2-6,Run4,30,,,,,,,,,
20231109,,Acropora,Recruit,4,7,P1-2,Run4,30,,,,,,,,,
20231109,,Pocillopora,Recruit,4,8,P2-9,Run4,30,,,,,,,,,
20231109,,Pocillopora,Adult,4,9,P1-4,Run4,30,,,,,,,,,
20231109,BK-8,Blank,Blank,4,10,P1-5,Run4,30,,,,,,,,,
20231109,,Porites,Recruit,4,11,P1-6,Run4,30,,,,,,,,,
20231109,,Acropora,Adult,4,12,P2-4,Run4,30,,,,,,,,,
20231109,,Pocillopora,Recruit,4,13,P1-8,Run4,30,,,,,,,,,
20231109,,Porites,Recruit,4,14,P1-7,Run4,30,,,,,,,,,
20231109,LOG-4,logger,logger,4,15,P2-8,Run4,30,,,,,,,,,
20231109,,Acropora,Recruit,4,16,P2-1,Run4,30,,,,,,,,,
20231109,,Porites,Adult,4,17,P1-9,Run4,30,,,,,,,,,
20231109,,Acropora,Adult,4,18,P2-2,Run4,30,,,,,,,,,
20231109,,Acropora,Recruit,4,1,P1-1,Run5,33,,,,,,,,,
20231109,,Acropora,Adult,4,2,P1-2,Run5,33,,,,,,,,,
20231109,,Acropora,Recruit,4,3,P1-3,Run5,33,,,,,,,,,
20231109,,Pocillopora,Recruit,4,4,P1-4,Run5,33,,,,,,,,,
20231109,BK-9,Blank,Blank,4,5,P1-5,Run5,33,,,,,,,,,
20231109,,Porites,Adult,4,6,P1-6,Run5,33,,,,,,,,,
20231109,,Acropora,Adult,4,7,P1-7,Run5,33,,,,,,,,,
20231109,,Pocillopora,Recruit,4,8,P1-8,Run5,33,,,,,,,,,
20231109,,Porites,Recruit,4,9,P1-9,Run5,33,,,,,,,,,
20231109,,Pocillopora,Adult,4,10,P2-1,Run5,33,,,,,,,,,
20231109,,Porites,Adult,4,11,P2-2,Run5,33,,,,,,,,,
20231109,,Acropora,Recruit,4,12,P2-3,Run5,33,,,,,,,,,
