Compound,n_observations,df_group,F_group,R2_group,p_group,df_temperature,F_temperature,R2_temperature,p_temperature,df_group_temp,F_group_temp,R2_group_temp,p_group_temp,ran_permanova,note,p_group_FDR,p_temperature_FDR,p_group_temp_FDR
NG-dimethyl-L-arginine,47,2,4.858323157913948,0.18620979800679696,0.001,2,0.2520400623781569,0.00966019088882691,0.957,4,0.6398873324691493,0.050793227301927694,0.801,TRUE,NA,0.0011477272727272727,0.9665699999999999,0.9465813953488373
Nicotinate,47,2,11.364331502584896,0.3412534240433348,0.001,2,1.0820645818305983,0.03249273778239579,0.369,4,2.9502489351616292,0.14942836546504132,0.005,TRUE,NA,0.0011477272727272727,0.5480735294117647,0.0606
O-Butanoylcarnitine,47,2,26.68742237825813,0.5033695351434747,0.001,2,4.932423209963611,0.09303377235686114,0.002,4,5.957305498222016,0.15265663135929178,0.001,TRUE,NA,0.0011477272727272727,0.011222222222222222,0.02525
O-Propanoylcarnitine,47,2,41.06485605728086,0.6102950703596941,0.001,2,5.997375806951752,0.08913141896739202,0.002,4,1.6301911364861343,0.04571142466165551,0.158,TRUE,NA,0.0011477272727272727,0.011222222222222222,0.478264705882353
Ornithine,47,2,10.027515147273713,0.29770505895777466,0.001,2,2.3979297345066843,0.07119169629796096,0.052,4,1.1212898394641477,0.06581923182798394,0.355,TRUE,NA,0.0011477272727272727,0.1622121212121212,0.7638124999999999
Pantothenate,47,2,16.53315230887962,0.41015832597295665,0.001,2,2.205336787197977,0.05471051303131661,0.064,4,1.932321323147666,0.08805622919604857,0.047,TRUE,NA,0.0011477272727272727,0.16574358974358974,0.18988
Phenylalanine,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Phosphocholine,47,2,16.377997733077457,0.39261481948530746,0.001,2,4.9731702643164555,0.11921728024487997,0.002,4,2.8170865406171792,0.11513765294380607,0.011,TRUE,NA,0.0011477272727272727,0.011222222222222222,0.07406666666666667
Proline,47,2,8.677552140137488,0.24952901754795784,0.001,2,5.485388595758527,0.1577361455239508,0.001,4,0.8875816771893464,0.05159849044648955,0.57,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.91955223880597
S-adenosyl-L-homocysteine,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
S-adenosyl-L-methionine,47,2,6.630827623922491,0.23752443980692947,0.002,2,0.3319877574416062,0.011892211739087437,0.838,4,2.4730202452520595,0.15537595607823929,0.03,TRUE,NA,0.002269662921348315,0.8725567010309279,0.13772727272727273
