colony_id,species,lifestage,prot_mg.cm2
ACR-A10,Acropora,Adult,0.21179460736442438
ACR-A11,Acropora,Adult,0.3223475279123013
ACR-A12,Acropora,Adult,0.5375739568046296
ACR-A13,Acropora,Adult,0.37734649385224794
ACR-A14,Acropora,Adult,0.36638302897005454
ACR-A15,Acropora,Adult,0.15113148161416035
ACR-A16,Acropora,Adult,0.5407953835548931
ACR-A17,Acropora,Adult,0.44025790926342817
ACR-A6,Acropora,Adult,0.4573221033014087
ACR-A7,Acropora,Adult,0.3444206282496527
ACR-A8,Acropora,Adult,0.4147582559127217
ACR-A9,Acropora,Adult,0.3574323733823427
ACR-R11,Acropora,Recruit,0.043768708753176865
ACR-R12,Acropora,Recruit,0.14682772937561686
ACR-R13,Acropora,Recruit,0.36991842371444955
ACR-R14,Acropora,Recruit,0.15929735237238882
ACR-R15,Acropora,Recruit,0.19256018977260872
ACR-R16,Acropora,Recruit,0.11104983386489674
ACR-R17,Acropora,Recruit,0.3037674451782998
ACR-R18,Acropora,Recruit,0.16003711633165532
ACR-R19,Acropora,Recruit,0.21646762775870337
ACR-R22,Acropora,Recruit,0.16485086607203722
ACR-R23,Acropora,Recruit,0.26140362385030824
ACR-R24,Acropora,Recruit,0.3094195948887324
ACR-R25,Acropora,Recruit,0.42903409517927954
ACR-R26,Acropora,Recruit,0.19820245129158282
ACR-R27,Acropora,Recruit,0.24431301425766996
ACR-R28,Acropora,Recruit,0.37348319046486217
ACR-R29,Acropora,Recruit,0.4927911553813307
ACR-R30,Acropora,Recruit,0.48214808814566606
POC-A10,Pocillopora,Adult,0.7059711618437072
POC-A11,Pocillopora,Adult,0.2964610146624554
POC-A12,Pocillopora,Adult,0.3111833232011487
POC-A13,Pocillopora,Adult,0.3461674002968665
POC-A14,Pocillopora,Adult,0.6213787049266795
POC-A15,Pocillopora,Adult,0.4283225154797347
POC-A16,Pocillopora,Adult,0.4538760385383906
POC-A17,Pocillopora,Adult,0.8377142084876084
POC-A6,Pocillopora,Adult,0.25712349821917585
POC-A7,Pocillopora,Adult,0.4424547125357946
POC-A8,Pocillopora,Adult,0.7417464847091689
POC-A9,Pocillopora,Adult,0.6728842804821507
POC-R11,Pocillopora,Recruit,0.3167607696298505
POC-R12,Pocillopora,Recruit,0.2351367916333097
POC-R13,Pocillopora,Recruit,0.29802592350939283
POC-R14,Pocillopora,Recruit,0.07725000876336738
POC-R15,Pocillopora,Recruit,0.25309641258441945
POC-R16,Pocillopora,Recruit,0.04731275317041947
POC-R18,Pocillopora,Recruit,0.15495719171894043
POC-R19,Pocillopora,Recruit,0.24623627749972318
POC-R20,Pocillopora,Recruit,0.2783555139944349
POC-R21,Pocillopora,Recruit,0.09057487472925785
POC-R22,Pocillopora,Recruit,0.14065906699174183
POC-R23,Pocillopora,Recruit,0.22341793802982418
POC-R24,Pocillopora,Recruit,0.19795811891495269
POC-R26,Pocillopora,Recruit,0.03202707154059989
POC-R27,Pocillopora,Recruit,0.24305756446476817
POC-R28,Pocillopora,Recruit,0.21505467706415296
POC-R29,Pocillopora,Recruit,0.2521483834861275
POC-R30,Pocillopora,Recruit,0.24601965324087527
POR-A10,Porites,Adult,0.4559488259487481
POR-A11,Porites,Adult,0.7157756231456867
POR-A12,Porites,Adult,0.379199494570446
POR-A13,Porites,Adult,1.2527043921149292
POR-A14,Porites,Adult,1.5704710592431772
POR-A15,Porites,Adult,1.2963807515174863
POR-A16,Porites,Adult,0.9860324930936998
POR-A17,Porites,Adult,1.0590545604758161
POR-A6,Porites,Adult,1.3622175492433712
POR-A7,Porites,Adult,1.0929303587316528
POR-A8,Porites,Adult,1.134889907852578
POR-A9,Porites,Adult,0.8458087961829115
POR-R11,Porites,Recruit,0.07956444790106405
POR-R13,Porites,Recruit,0.15667436641121082
POR-R14,Porites,Recruit,0.7669411645466419
POR-R15,Porites,Recruit,0.4090999706114969
POR-R16,Porites,Recruit,0.6099304988393859
POR-R17,Porites,Recruit,0.2777479693698542
POR-R18,Porites,Recruit,0.29629349451815623
POR-R19,Porites,Recruit,1.129417241976932
POR-R20,Porites,Recruit,0.8894073386242203
POR-R21,Porites,Recruit,0.34308995264451264
POR-R22,Porites,Recruit,0.8874472863463795
POR-R24,Porites,Recruit,0.9648971323429869
POR-R25,Porites,Recruit,0.6273239370892478
POR-R26,Porites,Recruit,0.3977183417369411
POR-R27,Porites,Recruit,1.1844641430825014
POR-R28,Porites,Recruit,0.3852556954790588
POR-R29,Porites,Recruit,0.8580532699343971
POR-R30,Porites,Recruit,0.6192480416135179
