"","sample_id","Light_Value","micromol.L.s","grouping.id","Species","Run","Chamber.Vol.L","Temp.Cat"
"56","ACR-R1","514",-0.000517678571428778,"ACR-R1-514","Acropora","Run1",0.187,27.8
"57","ACR-R1","700",-0.00130142589118192,"ACR-R1-700","Acropora","Run1",0.187,27.8
"58","ACR-R1","79",-0.00196176068376077,"ACR-R1-79","Acropora","Run1",0.187,27.8
"59","ACR-R1","846",-0.000834051282051327,"ACR-R1-846","Acropora","Run1",0.187,27.8
"60","ACR-R1","9",-0.00513751231527087,"ACR-R1-9","Acropora","Run1",0.187,27.8
"61","ACR-R10","0",-0.00949974025974054,"ACR-R10-0","Acropora","Run1",0.189,27.8
"62","ACR-R10","143",0.00222319176319181,"ACR-R10-143","Acropora","Run1",0.189,27.8
"63","ACR-R10","206",0.00755025409373272,"ACR-R10-206","Acropora","Run1",0.189,27.8
"64","ACR-R10","29",-0.00814425082977718,"ACR-R10-29","Acropora","Run1",0.189,27.8
"65","ACR-R10","317",0.00721208760997049,"ACR-R10-317","Acropora","Run1",0.189,27.8
"66","ACR-R10","514",0.0097445970695968,"ACR-R10-514","Acropora","Run1",0.189,27.8
"67","ACR-R10","700",0.00823327586206904,"ACR-R10-700","Acropora","Run1",0.189,27.8
"68","ACR-R10","79",-0.00184088085827202,"ACR-R10-79","Acropora","Run1",0.189,27.8
"69","ACR-R10","846",0.00804885154061624,"ACR-R10-846","Acropora","Run1",0.189,27.8
"70","ACR-R10","9",-0.0102696662958842,"ACR-R10-9","Acropora","Run1",0.189,27.8
"71","ACR-R2","0",-0.0192123836891072,"ACR-R2-0","Acropora","Run2",0.18,27.8
"72","ACR-R2","143",0.0100164935064941,"ACR-R2-143","Acropora","Run2",0.18,27.8
"73","ACR-R2","206",0.0200103076923094,"ACR-R2-206","Acropora","Run2",0.18,27.8
"74","ACR-R2","29",-0.0115447619047619,"ACR-R2-29","Acropora","Run2",0.18,27.8
"75","ACR-R2","317",0.0178113636363638,"ACR-R2-317","Acropora","Run2",0.18,27.8
"76","ACR-R2","514",0.0217607827038849,"ACR-R2-514","Acropora","Run2",0.18,27.8
"77","ACR-R2","700",0.0205537831733472,"ACR-R2-700","Acropora","Run2",0.18,27.8
"78","ACR-R2","79",0.00320398080180685,"ACR-R2-79","Acropora","Run2",0.18,27.8
"79","ACR-R2","846",0.022971678321683,"ACR-R2-846","Acropora","Run2",0.18,27.8
"80","ACR-R2","9",-0.0106008771929824,"ACR-R2-9","Acropora","Run2",0.18,27.8
"81","ACR-R3","0",-0.0134587114845937,"ACR-R3-0","Acropora","Run2",0.19,27.8
"82","ACR-R3","143",0.00012005347593588,"ACR-R3-143","Acropora","Run2",0.19,27.8
"83","ACR-R3","206",0.00827550611790885,"ACR-R3-206","Acropora","Run2",0.19,27.8
"84","ACR-R3","29",-0.00932699780058609,"ACR-R3-29","Acropora","Run2",0.19,27.8
"85","ACR-R3","317",0.00760669230769286,"ACR-R3-317","Acropora","Run2",0.19,27.8
"86","ACR-R3","514",0.0153539682539683,"ACR-R3-514","Acropora","Run2",0.19,27.8
"87","ACR-R3","700",0.0106058300395257,"ACR-R3-700","Acropora","Run2",0.19,27.8
"88","ACR-R3","79",-0.000757093596059116,"ACR-R3-79","Acropora","Run2",0.19,27.8
"89","ACR-R3","846",0.0108350257400258,"ACR-R3-846","Acropora","Run2",0.19,27.8
"90","ACR-R3","9",-0.0117994360902255,"ACR-R3-9","Acropora","Run2",0.19,27.8
"91","ACR-R4","0",-0.0175263165266104,"ACR-R4-0","Acropora","Run2",0.19,27.8
"92","ACR-R4","143",-0.000262311486962588,"ACR-R4-143","Acropora","Run2",0.19,27.8
"93","ACR-R4","206",0.00820354278074864,"ACR-R4-206","Acropora","Run2",0.19,27.8
"94","ACR-R4","29",-0.0120148928571428,"ACR-R4-29","Acropora","Run2",0.19,27.8
"95","ACR-R4","317",0.0106926750700281,"ACR-R4-317","Acropora","Run2",0.19,27.8
"96","ACR-R4","514",0.0215811623931623,"ACR-R4-514","Acropora","Run2",0.19,27.8
"97","ACR-R4","700",0.019609581881533,"ACR-R4-700","Acropora","Run2",0.19,27.8
"98","ACR-R4","79",-0.00358817245817248,"ACR-R4-79","Acropora","Run2",0.19,27.8
"99","ACR-R4","846",0.0183433322192516,"ACR-R4-846","Acropora","Run2",0.19,27.8
"100","ACR-R4","9",-0.0155341739130439,"ACR-R4-9","Acropora","Run2",0.19,27.8
"101","ACR-R5","0",-0.0306099871299867,"ACR-R5-0","Acropora","Run1",0.177,27.8
"102","ACR-R5","143",0.0091526185770752,"ACR-R5-143","Acropora","Run1",0.177,27.8
"103","ACR-R5","206",0.0116019607843138,"ACR-R5-206","Acropora","Run1",0.177,27.8
