"","sample_id","Light_Value","micromol.L.s","grouping.id","Species","Lifestage","Run","Chamber.Vol.L","Temp.Cat"
"1","ACR-A10",0,-0.0208442051282045,"ACR-A10-0","Acropora","Adult","Run3",0.19,30
"2","ACR-A10",550,0.0411319028340078,"ACR-A10-550","Acropora","Adult","Run3",0.19,30
"3","ACR-A11",0,-0.014230307585569,"ACR-A11-0","Acropora","Adult","Run4",0.194,30
"4","ACR-A11",550,0.00717229034531342,"ACR-A11-550","Acropora","Adult","Run4",0.194,30
"5","ACR-A12",0,-0.0214619495798322,"ACR-A12-0","Acropora","Adult","Run6",0.19,27
"6","ACR-A12",550,0.0268788695877628,"ACR-A12-550","Acropora","Adult","Run6",0.19,27
"7","ACR-A13",0,-0.0108989130434784,"ACR-A13-0","Acropora","Adult","Run5",0.193,33
"8","ACR-A13",550,0.0193267368649591,"ACR-A13-550","Acropora","Adult","Run5",0.193,33
"9","ACR-A14",0,-0.01667913003663,"ACR-A14-0","Acropora","Adult","Run2",0.193,27
"10","ACR-A14",550,0.020838414634146,"ACR-A14-550","Acropora","Adult","Run2",0.193,27
"11","ACR-A15",0,-0.0134213360323888,"ACR-A15-0","Acropora","Adult","Run3",0.187,30
"12","ACR-A15",550,0.0190525322097097,"ACR-A15-550","Acropora","Adult","Run3",0.187,30
"13","ACR-A16",0,-0.0157684979441867,"ACR-A16-0","Acropora","Adult","Run2",0.192,27
"14","ACR-A16",550,0.0133130599777861,"ACR-A16-550","Acropora","Adult","Run2",0.192,27
"15","ACR-A17",0,-0.0179391535615176,"ACR-A17-0","Acropora","Adult","Run5",0.192,33
"16","ACR-A17",550,0.0209300263504613,"ACR-A17-550","Acropora","Adult","Run5",0.192,33
"17","ACR-A6",0,-0.0110451646357273,"ACR-A6-0","Acropora","Adult","Run1",0.188,33
"18","ACR-A6",550,0.0167868774703557,"ACR-A6-550","Acropora","Adult","Run1",0.188,33
"19","ACR-A7",0,-0.0159806730769232,"ACR-A7-0","Acropora","Adult","Run4",0.189,30
"20","ACR-A7",550,0.0188428498355863,"ACR-A7-550","Acropora","Adult","Run4",0.189,30
"21","ACR-A8",0,-0.0138916306253658,"ACR-A8-0","Acropora","Adult","Run6",0.191,27
"22","ACR-A8",550,0.0315832467532487,"ACR-A8-550","Acropora","Adult","Run6",0.191,27
"23","ACR-A9",0,-0.0108997165991903,"ACR-A9-0","Acropora","Adult","Run1",0.191,33
"24","ACR-A9",550,0.0104481533101046,"ACR-A9-550","Acropora","Adult","Run1",0.191,33
"25","ACR-R11",0,-0.00780928732297589,"ACR-R11-0","Acropora","Recruit","Run2",0.192,27
"26","ACR-R11",550,0.00888800699300701,"ACR-R11-550","Acropora","Recruit","Run2",0.192,27
"27","ACR-R12",0,-0.0065930091613813,"ACR-R12-0","Acropora","Recruit","Run1",0.182,33
"28","ACR-R12",550,0.0193753846153849,"ACR-R12-550","Acropora","Recruit","Run1",0.182,33
"29","ACR-R13",0,-0.0176912653061223,"ACR-R13-0","Acropora","Recruit","Run1",0.188,33
"30","ACR-R13",550,0.0331652244897959,"ACR-R13-550","Acropora","Recruit","Run1",0.188,33
"31","ACR-R14",0,-0.0330144425385944,"ACR-R14-0","Acropora","Recruit","Run3",0.186,30
"32","ACR-R14",550,0.0531703238866395,"ACR-R14-550","Acropora","Recruit","Run3",0.186,30
"33","ACR-R15",0,-0.0139447900936269,"ACR-R15-0","Acropora","Recruit","Run5",0.187,33
"34","ACR-R15",550,0.0297467206477728,"ACR-R15-550","Acropora","Recruit","Run5",0.187,33
"35","ACR-R16",0,-0.00284926470588267,"ACR-R16-0","Acropora","Recruit","Run1",0.196,33
"36","ACR-R16",550,0.00824753501400591,"ACR-R16-550","Acropora","Recruit","Run1",0.196,33
"37","ACR-R17",0,-0.024539840348331,"ACR-R17-0","Acropora","Recruit","Run6",0.183,27
"38","ACR-R17",550,0.0458069642857144,"ACR-R17-550","Acropora","Recruit","Run6",0.183,27
"39","ACR-R18",0,-0.0098854424645123,"ACR-R18-0","Acropora","Recruit","Run3",0.182,30
"40","ACR-R18",550,0.0101797221016069,"ACR-R18-550","Acropora","Recruit","Run3",0.182,30
"41","ACR-R19",0,-0.0119747936210131,"ACR-R19-0","Acropora","Recruit","Run5",0.19,33
"42","ACR-R19",550,0.0133293795820112,"ACR-R19-550","Acropora","Recruit","Run5",0.19,33
"43","ACR-R22",0,-0.0169579854737009,"ACR-R22-0","Acropora","Recruit","Run4",0.188,30
"44","ACR-R22",550,0.0207884615384613,"ACR-R22-550","Acropora","Recruit","Run4",0.188,30
"45","ACR-R23",0,-0.019279357466063,"ACR-R23-0","Acropora","Recruit","Run2",0.172,27
"46","ACR-R23",550,0.02266631993007,"ACR-R23-550","Acropora","Recruit","Run2",0.172,27
"47","ACR-R24",0,-0.01112124355368,"ACR-R24-0","Acropora","Recruit","Run6",0.186,27
"48","ACR-R24",550,0.018336078293483,"ACR-R24-550","Acropora","Recruit","Run6",0.186,27
"49","ACR-R25",0,-0.0310914912744575,"ACR-R25-0","Acropora","Recruit","Run4",0.187,30
"50","ACR-R25",550,0.0289500815158874,"ACR-R25-550","Acropora","Recruit","Run4",0.187,30
"51","ACR-R26",0,-0.0139716635604884,"ACR-R26-0","Acropora","Recruit","Run3",0.186,30
"52","ACR-R26",550,0.0242565433854905,"ACR-R26-550","Acropora","Recruit","Run3",0.186,30
"53","ACR-R27",0,-0.0241865206558177,"ACR-R27-0","Acropora","Recruit","Run2",0.19,27
"54","ACR-R27",550,0.0433677874756826,"ACR-R27-550","Acropora","Recruit","Run2",0.19,27
"55","ACR-R28",0,-0.0185181818181817,"ACR-R28-0","Acropora","Recruit","Run4",0.191,30
"56","ACR-R28",550,0.0304440190375461,"ACR-R28-550","Acropora","Recruit","Run4",0.191,30
"57","ACR-R29",0,-0.0179604253393665,"ACR-R29-0","Acropora","Recruit","Run6",0.188,27
"58","ACR-R29",550,0.0352162496759136,"ACR-R29-550","Acropora","Recruit","Run6",0.188,27
"59","ACR-R30",0,-0.0326744129554656,"ACR-R30-0","Acropora","Recruit","Run5",0.183,33
"60","ACR-R30",550,0.0468571752694287,"ACR-R30-550","Acropora","Recruit","Run5",0.183,33
"61","BK-1",0,-0.00257142857142707,"BK-1-0","Blank","Blank","Run1",0.188,33
"62","BK-1",550,-0.00332700514279469,"BK-1-550","Blank","Blank","Run1",0.188,33
"63","BK-2",0,-0.00301898481265559,"BK-2-0","Blank","Blank","Run2",0.19,27
"64","BK-2",550,-0.00296002023132411,"BK-2-550","Blank","Blank","Run2",0.19,27
"65","BK-3",0,-0.00123870445344139,"BK-3-0","Blank","Blank","Run3",0.179,30
"66","BK-3",550,-0.00140331546121018,"BK-3-550","Blank","Blank","Run3",0.179,30
"67","BK-4",0,-0.00287667173252288,"BK-4-0","Blank","Blank","Run4",0.189,30
"68","BK-4",550,-0.00225144618302506,"BK-4-550","Blank","Blank","Run4",0.189,30
"69","BK-5",0,-0.00443506401137955,"BK-5-0","Blank","Blank","Run5",0.188,33
"70","BK-5",550,-0.00164268367346942,"BK-5-550","Blank","Blank","Run5",0.188,33
"71","BK-6",0,-0.00295835680109355,"BK-6-0","Blank","Blank","Run6",0.184,27
"72","BK-6",550,-0.00342603384452686,"BK-6-550","Blank","Blank","Run6",0.184,27
"73","POC-A10",0,-0.0348192167745906,"POC-A10-0","Pocillopora","Adult","Run4",0.187,30
"74","POC-A10",550,0.0492339112938507,"POC-A10-550","Pocillopora","Adult","Run4",0.187,30
"75","POC-A11",0,-0.00856526789947815,"POC-A11-0","Pocillopora","Adult","Run1",0.19,33
"76","POC-A11",550,0.0150123527597908,"POC-A11-550","Pocillopora","Adult","Run1",0.19,33
"77","POC-A12",0,-0.0139247666087716,"POC-A12-0","Pocillopora","Adult","Run1",0.187,33
"78","POC-A12",550,0.00955744428639163,"POC-A12-550","Pocillopora","Adult","Run1",0.187,33
"79","POC-A13",0,-0.0152427758903694,"POC-A13-0","Pocillopora","Adult","Run6",0.192,27
"80","POC-A13",550,0.0160570597567422,"POC-A13-550","Pocillopora","Adult","Run6",0.192,27
"81","POC-A14",0,-0.0068444286391653,"POC-A14-0","Pocillopora","Adult","Run3",0.187,30
"82","POC-A14",550,0.0132852667283383,"POC-A14-550","Pocillopora","Adult","Run3",0.187,30
"83","POC-A15",0,-0.0141775854621747,"POC-A15-0","Pocillopora","Adult","Run6",0.192,27
"84","POC-A15",550,0.0225515075281118,"POC-A15-550","Pocillopora","Adult","Run6",0.192,27
"85","POC-A16",0,-0.0186176086434575,"POC-A16-0","Pocillopora","Adult","Run5",0.193,33
"86","POC-A16",550,0.0171536263736288,"POC-A16-550","Pocillopora","Adult","Run5",0.193,33
"87","POC-A17",0,-0.0231033064516137,"POC-A17-0","Pocillopora","Adult","Run3",0.192,30
"88","POC-A17",550,0.0254196734693878,"POC-A17-550","Pocillopora","Adult","Run3",0.192,30
"89","POC-A6",0,-0.022827177858439,"POC-A6-0","Pocillopora","Adult","Run2",0.189,27
"90","POC-A6",550,0.030539243534537,"POC-A6-550","Pocillopora","Adult","Run2",0.189,27
"91","POC-A7",0,-0.0190835173781441,"POC-A7-0","Pocillopora","Adult","Run4",0.186,30
"92","POC-A7",550,0.0271778543067827,"POC-A7-550","Pocillopora","Adult","Run4",0.186,30
"93","POC-A8",0,-0.0190864153661466,"POC-A8-0","Pocillopora","Adult","Run5",0.183,33
"94","POC-A8",550,0.011424020408163,"POC-A8-550","Pocillopora","Adult","Run5",0.183,33
"95","POC-A9",0,-0.0230685192961027,"POC-A9-0","Pocillopora","Adult","Run2",0.189,27
"96","POC-A9",550,0.0267696706192365,"POC-A9-550","Pocillopora","Adult","Run2",0.189,27
"97","POC-R11",0,-0.0154478108180325,"POC-R11-0","Pocillopora","Recruit","Run2",0.192,27
"98","POC-R11",550,0.0197355375528775,"POC-R11-550","Pocillopora","Recruit","Run2",0.192,27
"99","POC-R12",0,-0.00817697732037351,"POC-R12-0","Pocillopora","Recruit","Run4",0.193,30
"100","POC-R12",550,0.00369622470552715,"POC-R12-550","Pocillopora","Recruit","Run4",0.193,30
"101","POC-R13",0,-0.0059351219512197,"POC-R13-0","Pocillopora","Recruit","Run3",0.194,30
"102","POC-R13",550,0.00520528504212721,"POC-R13-550","Pocillopora","Recruit","Run3",0.194,30
"103","POC-R14",0,-0.00322207692307749,"POC-R14-0","Pocillopora","Recruit","Run1",0.186,33
"104","POC-R14",550,0.00572543589743572,"POC-R14-550","Pocillopora","Recruit","Run1",0.186,33
"105","POC-R15",0,-0.00889478425794229,"POC-R15-0","Pocillopora","Recruit","Run5",0.188,33
"106","POC-R15",550,0.010576720647773,"POC-R15-550","Pocillopora","Recruit","Run5",0.188,33
"107","POC-R16",0,-0.00450570850202412,"POC-R16-0","Pocillopora","Recruit","Run5",0.191,33
"108","POC-R16",550,0.0063352869352871,"POC-R16-550","Pocillopora","Recruit","Run5",0.191,33
"109","POC-R18",0,-0.00907524531024588,"POC-R18-0","Pocillopora","Recruit","Run4",0.188,30
"110","POC-R18",550,0.0135794372294374,"POC-R18-550","Pocillopora","Recruit","Run4",0.188,30
"111","POC-R19",0,-0.0130281469760903,"POC-R19-0","Pocillopora","Recruit","Run1",0.173,33
"112","POC-R19",550,0.0225328169528683,"POC-R19-550","Pocillopora","Recruit","Run1",0.173,33
"113","POC-R20",0,-0.0161037979094078,"POC-R20-0","Pocillopora","Recruit","Run5",0.191,33
"114","POC-R20",550,0.0125533192389007,"POC-R20-550","Pocillopora","Recruit","Run5",0.191,33
"115","POC-R21",0,-0.00753584712755586,"POC-R21-0","Pocillopora","Recruit","Run6",0.19,27
"116","POC-R21",550,0.00893014165666261,"POC-R21-550","Pocillopora","Recruit","Run6",0.19,27
"117","POC-R22",0,-0.012480841628959,"POC-R22-0","Pocillopora","Recruit","Run3",0.194,30
"118","POC-R22",550,0.0217588482570066,"POC-R22-550","Pocillopora","Recruit","Run3",0.194,30
"119","POC-R23",0,-0.00691323271665027,"POC-R23-0","Pocillopora","Recruit","Run2",0.195,27
"120","POC-R23",550,0.00680154406993172,"POC-R23-550","Pocillopora","Recruit","Run2",0.195,27
"121","POC-R24",0,-0.0105593000683527,"POC-R24-0","Pocillopora","Recruit","Run4",0.194,30
"122","POC-R24",550,0.012216833172951,"POC-R24-550","Pocillopora","Recruit","Run4",0.194,30
"123","POC-R26",0,-0.00396181818181839,"POC-R26-0","Pocillopora","Recruit","Run3",0.188,30
"124","POC-R26",550,0.00305894974590648,"POC-R26-550","Pocillopora","Recruit","Run3",0.188,30
"125","POC-R27",0,-0.00595691196424309,"POC-R27-0","Pocillopora","Recruit","Run6",0.186,27
"126","POC-R27",550,0.0081783986175122,"POC-R27-550","Pocillopora","Recruit","Run6",0.186,27
"127","POC-R28",0,-0.011126974068719,"POC-R28-0","Pocillopora","Recruit","Run6",0.19,27
"128","POC-R28",550,0.0179310178193901,"POC-R28-550","Pocillopora","Recruit","Run6",0.19,27
"129","POC-R29",0,-0.0122750337642295,"POC-R29-0","Pocillopora","Recruit","Run2",0.179,27
"130","POC-R29",550,0.0151018432313955,"POC-R29-550","Pocillopora","Recruit","Run2",0.179,27
"131","POC-R30",0,-0.00692699101004758,"POC-R30-0","Pocillopora","Recruit","Run1",0.192,33
"132","POC-R30",550,0.0158002736726859,"POC-R30-550","Pocillopora","Recruit","Run1",0.192,33
"133","POR-A10",0,-0.00928600000000177,"POR-A10-0","Porites","Adult","Run1",0.194,33
"134","POR-A10",550,0.00621713883677295,"POR-A10-550","Porites","Adult","Run1",0.194,33
"135","POR-A11",0,-0.00947830039525692,"POR-A11-0","Porites","Adult","Run5",0.184,33
"136","POR-A11",550,0.00586022167487677,"POR-A11-550","Porites","Adult","Run5",0.184,33
"137","POR-A12",0,-0.0171663961584636,"POR-A12-0","Porites","Adult","Run2",0.178,27
"138","POR-A12",550,0.0184874198717949,"POR-A12-550","Porites","Adult","Run2",0.178,27
"139","POR-A13",0,-0.0162519950662967,"POR-A13-0","Porites","Adult","Run6",0.186,27
"140","POR-A13",550,0.0272396668429401,"POR-A13-550","Porites","Adult","Run6",0.186,27
"141","POR-A14",0,-0.0226984588653012,"POR-A14-0","Porites","Adult","Run6",0.192,27
"142","POR-A14",550,0.031633775510204,"POR-A14-550","Porites","Adult","Run6",0.192,27
"143","POR-A15",0,-0.0158063726970703,"POR-A15-0","Porites","Adult","Run1",0.172,33
"144","POR-A15",550,0.0302108874056246,"POR-A15-550","Porites","Adult","Run1",0.172,33
"145","POR-A16",0,-0.0201557944139195,"POR-A16-0","Porites","Adult","Run2",0.19,27
"146","POR-A16",550,0.0283912972972968,"POR-A16-550","Porites","Adult","Run2",0.19,27
"147","POR-A17",0,-0.0195933814948596,"POR-A17-0","Porites","Adult","Run4",0.185,30
"148","POR-A17",550,0.0185327795163582,"POR-A17-550","Porites","Adult","Run4",0.185,30
