label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,12C_Ctrl_Acropora_unlabeled_1,12C_Ctrl_Pocillopora_unlabeled_1,13C_Blank_1,13C_Blank_2,13C_Ctrl_Acropora_dark_1,13C_Ctrl_Pocillopora_dark_1,13C_Larvae_Pocillopora_27_1,13C_Larvae_Pocillopora_27_2,13C_Larvae_Pocillopora_27_3,13C_Larvae_Pocillopora_27_4,13C_Larvae_Pocillopora_27_5,13C_Larvae_Pocillopora_27_6,13C_Larvae_Pocillopora_30_1,13C_Larvae_Pocillopora_30_2,13C_Larvae_Pocillopora_30_3,13C_Larvae_Pocillopora_30_4,13C_Larvae_Pocillopora_30_5,13C_Larvae_Pocillopora_30_6,13C_Larvae_Pocillopora_33_1,13C_Larvae_Pocillopora_33_2,13C_Larvae_Pocillopora_33_3,13C_Larvae_Pocillopora_33_4,13C_Larvae_Pocillopora_33_5,13C_Larvae_Pocillopora_dark_1,13C_Larvae_Pocillopora_dark_2,13C_Larvae_Pocillopora_dark_3,13C_Recruit_Acropora_27_1,13C_Recruit_Acropora_27_2,13C_Recruit_Acropora_27_3,13C_Recruit_Acropora_27_4,13C_Recruit_Acropora_27_5,13C_Recruit_Acropora_30_1,13C_Recruit_Acropora_30_2,13C_Recruit_Acropora_30_3,13C_Recruit_Acropora_30_4,13C_Recruit_Acropora_30_5,13C_Recruit_Acropora_30_6,13C_Recruit_Acropora_33_1,13C_Recruit_Acropora_33_2,13C_Recruit_Acropora_33_3,13C_Recruit_Acropora_33_4,13C_Recruit_Acropora_33_5,13C_Recruit_Acropora_dark_1,13C_Recruit_Pocillopora_27_1,13C_Recruit_Pocillopora_27_2,13C_Recruit_Pocillopora_27_3,13C_Recruit_Pocillopora_27_4,13C_Recruit_Pocillopora_27_5,13C_Recruit_Pocillopora_30_1,13C_Recruit_Pocillopora_30_2,13C_Recruit_Pocillopora_30_3,13C_Recruit_Pocillopora_30_4,13C_Recruit_Pocillopora_33_1,13C_Recruit_Pocillopora_33_2,13C_Recruit_Pocillopora_33_3,13C_Recruit_Pocillopora_33_4,13C_Recruit_Pocillopora_33_5,13C_Recruit_Pocillopora_dark_1,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6
,1,1,58,611.145752,12.706,0.852853,[M-H]-,C12 PARENT,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.004,1.697794,611.145752,305099.66,391837.50,352047.97,403892.78,391312.25,666184.19,12099.95,9556.23,7599.32,5018.41,7484.98,10233.76,8382.67,4368.29,1852.23,4827.28,6330.39,6968.84,7966.88,7476.32,11693.93,5665.90,10563.17,8459.40,14265.03,12181.09,109671.19,164167.95,4264.18,214455.61,408515.84,182238.36,166977.41,146743.39,7264.70,186875.50,53199.40,7349.71,103282.63,139176.36,155496.86,5960.04,224084.11,122920.60,146514.84,189468.95,497442.66,305474.66,400915.72,161824.52,162367.02,610884.81,200625.86,574958.31,287339.53,175834.11,692941.25,470797.03,0.00,0.00,2227.43,1428.62,2035.88,1698.67
,1,11,40,612.148621,12.715,0.852396,,C13-label-1,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.005,0.897359,611.145752,81076.09,98781.37,122186.20,127383.97,98583.46,172659.80,3784.64,2203.70,1570.78,1497.87,1262.42,3316.36,2060.68,1239.90,0.00,1814.22,1907.56,4756.05,1501.43,3445.99,2191.12,1281.23,3919.06,0.00,2059.52,1533.05,39593.59,49120.58,1565.16,72898.82,110022.12,55216.36,53622.09,58462.81,3891.16,68479.09,18551.48,1859.82,36542.10,52969.34,53651.03,1767.82,58904.88,36036.73,44633.17,57002.73,147559.08,98516.65,119963.25,56120.97,50325.75,190320.20,69957.72,213441.67,93202.84,67527.92,227694.52,125846.68,0.00,0.00,0.00,0.00,0.00,0.00
,1,12,28,613.149902,12.707,0.850796,,C13-label-2,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.003,2.488584,611.145752,5652.15,1413.98,50534.86,41781.54,4424.89,19077.72,0.00,1222.21,0.00,0.00,0.00,1337.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1108.51,0.00,0.00,0.00,0.00,0.00,18623.29,20358.73,0.00,29212.29,28101.43,20149.79,13835.06,29078.72,1887.72,25965.69,7656.18,0.00,11236.66,27048.94,21089.75,0.00,6690.45,8429.37,11277.05,22394.86,55132.64,31792.12,45648.12,16581.11,18761.49,43540.55,31736.45,87644.80,30658.38,25981.66,74545.55,7744.32,0.00,0.00,0.00,0.00,0.00,0.00
,1,13,28,614.153809,12.709,0.848313,,C13-label-3,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.001,1.590092,611.145752,1170.20,1014.94,25519.08,19655.54,2617.33,1988.80,0.00,0.00,0.00,1198.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10176.58,10666.18,0.00,17036.55,21055.94,10846.13,13633.91,19873.63,0.00,16669.02,2241.71,0.00,6987.23,21726.02,6758.81,0.00,1213.37,2076.71,5631.44,12898.93,21616.02,16209.70,21368.29,9796.25,7566.65,26305.02,16862.11,41145.66,16397.88,17302.29,26958.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,1,14,25,615.158813,12.688,0.847455,,C13-label-4,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.022,1.091405,611.145752,0.00,0.00,19694.00,10570.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6835.11,8391.08,0.00,11287.96,12052.36,7997.82,5094.70,14849.02,2969.66,13881.32,0.00,0.00,4349.16,17658.63,3801.98,0.00,0.00,1785.25,3418.98,5233.14,13858.80,10145.45,14328.44,6376.61,3995.47,12813.99,7793.57,23453.42,8628.77,8520.75,15480.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,1,15,23,616.162170,12.704,0.844489,,C13-label-5,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.006,1.089628,611.145752,0.00,0.00,11820.14,4500.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6942.67,6699.80,0.00,8414.13,10129.69,4499.56,5029.93,11836.87,1370.40,8823.64,1476.64,0.00,1595.00,14769.44,3168.05,0.00,0.00,0.00,1354.14,3151.70,10993.27,5659.77,6218.33,1497.18,3424.69,9378.80,5427.62,14736.01,5485.30,2988.25,11966.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,1,16,13,617.165222,12.701,0.841325,,C13-label-6,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.009,0.593376,611.145752,0.00,0.00,7168.93,2939.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6530.56,2277.74,0.00,4801.09,9009.49,1572.49,3311.16,8764.82,0.00,7464.76,0.00,0.00,1398.63,11204.56,0.00,0.00,0.00,0.00,1121.58,3148.44,5479.97,1318.30,5350.71,0.00,2243.80,6447.58,1935.58,8120.19,1894.02,1742.92,6829.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,1,17,5,618.168823,12.686,0.829065,,C13-label-7,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.024,0.987355,611.145752,0.00,0.00,2919.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3989.80,1678.40,0.00,1259.90,5465.81,0.00,1365.14,4004.13,0.00,5948.81,0.00,0.00,0.00,7896.66,1317.74,0.00,0.00,0.00,0.00,1330.89,1825.75,1304.65,2489.95,1411.03,0.00,1394.21,0.00,2790.64,1296.34,0.00,2330.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,1,18,1,619.171997,12.691,0.771507,,C13-label-8,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.019,0.690029,611.145752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1675.20,1357.63,0.00,0.00,1307.15,0.00,0.00,1493.57,0.00,1279.54,0.00,0.00,0.00,4734.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1262.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,19,19,58,145.098206,11.356,0.854061,[M-H]-,C12 PARENT,Lysine,Lysine,C6H14N2O2,1.314,0.315485,145.098206,597765.56,733169.44,33448.35,626273.31,436989.34,1968289.88,30492.53,26723.93,36175.30,21690.19,16661.31,27449.47,17588.65,16449.86,14809.30,16768.44,14905.93,16873.63,14881.91,25584.17,24577.97,23877.39,24415.38,21590.80,29839.56,28194.92,172091.33,548592.56,96111.50,437730.50,265530.19,189416.33,197929.75,283684.34,183863.80,280114.03,145914.44,420127.84,275872.34,161087.11,269191.47,492810.91,244990.50,205246.86,331711.00,187815.42,527089.06,376826.16,1204974.12,151247.45,364120.97,629707.69,952105.81,1303823.62,619516.00,214979.44,444659.28,1156170.50,0.00,0.00,942.16,1087.86,1295.40,947.92
