Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,13C-Blank_1,13C-Blank_2,12C-Ctrl_Acropora-unlabeled_1,12C-Ctrl_Pocillopora-unlabeled_1,13C-Ctrl_Acropora-dark_1,13C-Ctrl_Pocillopora-dark_1,13C-Larvae_Pocillopora-27_1,13C-Larvae_Pocillopora-27_2,13C-Larvae_Pocillopora-27_3,13C-Larvae_Pocillopora-27_4,13C-Larvae_Pocillopora-27_5,13C-Larvae_Pocillopora-27_6,13C-Larvae_Pocillopora-30_1,13C-Larvae_Pocillopora-30_2,13C-Larvae_Pocillopora-30_3,13C-Larvae_Pocillopora-30_4,13C-Larvae_Pocillopora-30_5,13C-Larvae_Pocillopora-30_6,13C-Larvae_Pocillopora-33_1,13C-Larvae_Pocillopora-33_2,13C-Larvae_Pocillopora-33_3,13C-Larvae_Pocillopora-33_4,13C-Larvae_Pocillopora-33_5,13C-Larvae_Pocillopora-dark_1,13C-Larvae_Pocillopora-dark_2,13C-Larvae_Pocillopora-dark_3,13C-Recruit_Acropora-27_1,13C-Recruit_Acropora-27_2,13C-Recruit_Acropora-27_3,13C-Recruit_Acropora-27_4,13C-Recruit_Acropora-27_5,13C-Recruit_Acropora-30_1,13C-Recruit_Acropora-30_2,13C-Recruit_Acropora-30_3,13C-Recruit_Acropora-30_4,13C-Recruit_Acropora-30_5,13C-Recruit_Acropora-30_6,13C-Recruit_Acropora-33_1,13C-Recruit_Acropora-33_2,13C-Recruit_Acropora-33_3,13C-Recruit_Acropora-33_4,13C-Recruit_Acropora-33_5,13C-Recruit_Acropora-dark_1,13C-Recruit_Pocillopora-27_1,13C-Recruit_Pocillopora-27_2,13C-Recruit_Pocillopora-27_3,13C-Recruit_Pocillopora-27_4,13C-Recruit_Pocillopora-27_5,13C-Recruit_Pocillopora-30_1,13C-Recruit_Pocillopora-30_2,13C-Recruit_Pocillopora-30_3,13C-Recruit_Pocillopora-30_4,13C-Recruit_Pocillopora-33_1,13C-Recruit_Pocillopora-33_2,13C-Recruit_Pocillopora-33_3,13C-Recruit_Pocillopora-33_4,13C-Recruit_Pocillopora-33_5,13C-Recruit_Pocillopora-dark_1
Glutathione disulfide,0,,,1,1,1,1,0.852303608,0.933323706,1,1,1,1,0.989255069,1,1,0.841161197,1,0.953511534,1,1,1,0.93452779,0.999865278,0.734768478,1,0.869346436,1,1,0.938499338,1,1,1,0.776800518,0.885830419,0.941793229,0.852723075,0.9332226,0.914675989,0.887744282,0.720502599,0.574540878,0.794552043,0.906283468,1,0.879493736,0.676334966,0.902900926,1,1,0.986066406,0.95497151,0.915356007,0.937154236,0.916304816,0.924608755,0.894936038,0.926014588,0.942515645,0.864586079,0.85342672,0.912770915,0.838033049,0.923432409,1
Glutathione disulfide,1,,,0,0,0,0,0.067364797,0.037980645,0,0,0,0,0.010744931,0,0,0.001717513,0,0.046488466,0,0,0,0.06547221,0.000134722,0.265231522,0,0.130653564,0,0,0.061500662,0,0,0,0.075787736,0.026126138,0.058206771,0.060267091,0,0.027719179,0.036974436,0.097742842,0.15177994,0.076630467,0.072672443,0,0.068886589,0.079679044,0.068181302,0,0,0.009466919,0.023823659,0.02729324,0.022884234,0.043595537,0.025383197,0.062994627,0.035239028,0.028576708,0.072205016,0.088647218,0.045522327,0.096343813,0.049650351,0
Glutathione disulfide,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009640481,0.013634708,0,0,0,0,0.009043493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,3,,,0,0,0,0,0.02255218,0.007947435,0,0,0,0,0,0,0,0.15712129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034490693,0.023113915,0,0.029549789,0.015533931,0.018711794,0.036259262,0.055466312,0,0.031606245,0,0,0.01884918,0.067115154,0,0,0,0,2.40E-05,0.027397401,0.005495848,0.010688332,0.013899391,0.013800022,0.00670411,0.003591007,0.033207998,0.019311251,0.014144102,0.039773849,0,0
Glutathione disulfide,4,,,0,0,0,0,0.032171342,0.013424995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029472964,0.030217299,0,0.027797303,0.015427522,0.026589763,0.009272003,0.04718197,0.212847527,0.041294485,0,0,0.023015301,0.057746241,0.011261468,0,0,0.004466675,0.013460145,0.01001344,0.015511062,0.01831386,0.02089574,0.021949533,0.011786319,0.009792224,0.015658685,0.019684157,0.014551279,0.021194851,0.010719557,0
Glutathione disulfide,5,,,0,0,0,0,0.015806394,0.004247805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03353658,0.024230241,0,0.020486985,0.015283777,0.012057269,0.017262331,0.035503571,0.047196946,0.020687921,0.021044088,0,0.00330296,0.044817668,0.012889684,0,0,0,0.003828982,0.006898984,0.014508998,0.009358863,0.005702093,0,0.013433964,0.009717696,0.01283717,0.012300289,0.010361605,0.001529054,0.011454775,0
Glutathione disulfide,6,,,0,0,0,0,0.008126028,0.003075414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032171189,0.001722511,0,0.009175757,0.013897248,0.000246005,0.010911162,0.026002142,0,0.018872652,0,0,0.006452232,0.032604095,0,0,0,0,0.003891735,0.010811401,0.004445621,0,0.007144998,0,0.006821992,0.00580672,0.001505051,0.005703544,0.00088824,0.003125383,0.004712697,0
Glutathione disulfide,7,,,0,0,0,0,0.00167565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015107119,0.003748033,0,0,0.006634922,0,0.001576524,0.007322318,0,0.016356187,0,0,0,0.021525926,0.004766619,0,0,0,0,0.002229527,0,0.001738593,0.002365826,0.006319781,0,0,0,0.000490645,0.001761532,0,3.02E-05,0
Glutathione disulfide,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002633201,0.005011444,0,0,0,0,0,0.000637766,0,0,0,0,0,0.011133414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000436177,0,0,0,0
Glutathione disulfide,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
