tank,par_mean,par_sd,pH.total_mean,pH.total_sd,sal.psu_mean,sal.psu_sd,temp.C_mean,temp.C_sd
blue tank,300,232.92722234442869,8.00876459299787,0.057054730655294705,35.82923076923077,0.18781469318016375,28.35923076923077,0.8194862368018713
cooler1,263.25,147.68519447347003,7.865655162468015,0.23612868810142515,36.202,0.3616904754068042,26.99,1.7325559154035985
cooler2,264.75,199.87558630308004,7.853082968344412,0.23785143814099335,36.244,0.3777962413788695,26.728,1.8815073744208386
cooler3,246,159.12468905442256,7.853762578329422,0.24915037237931595,36.334,0.4997299270606058,26.95,1.5805220656479306
squaricle1,323.5,167.14365079176653,8.033670657758636,0.032066764529473074,35.9725,0.10144785195688645,28.415,0.5940538696111659
squaricle2,290,189.81921223451891,8.03250210781881,0.03107017206219231,35.96,0.08640987597876963,28.445,0.6121274377121161
squaricle3,279,196.90437611524365,8.035816736931743,0.027014174645507805,35.957499999999996,0.1209338662244796,28.447499999999998,0.5350623016683813
tank1,586,8.48528137423857,8.060047808482318,0.0143896828728514,36.14333333333333,0.12858201014657258,27.416666666666668,0.6101092798288952
tank2,589,9.899494936611665,8.030950995220966,0.04428151749631762,36.07333333333334,0.1305118130030116,28.563333333333333,1.480551698973506
tank3,590.5,0.7071067811865476,7.962270789788273,0.03693207154963159,36.156666666666666,0.08386497083606052,31.63,2.295103483505699
water table,218.2,153.66159479286202,8.013749795552362,0.08853695202452522,35.885,0.20787816944867793,27.975625,0.7023766202449125
