"term","df","sumsq","meansq","statistic","p.value","metric"
"tank",1,0.216224999999999,0.216224999999999,0.445434413143121,0.573210355282378,"temp.C"
"Residuals",2,0.970849999999996,0.485424999999998,NA,NA,"temp.C"
"tank",1,0.000653071438439944,0.000653071438439944,3.42415721052846,0.205469243091703,"pH.total"
"Residuals",2,0.000381449447725067,0.000190724723862534,NA,NA,"pH.total"
"tank",1,0.00202500000000037,0.00202500000000037,0.265573770491875,0.657623864391119,"sal.psu"
"Residuals",2,0.0152499999999986,0.00762499999999932,NA,NA,"sal.psu"
"tank",1,5700.25,5700.25,0.0612296413657908,0.827647467870336,"par"
"Residuals",2,186192.5,93096.25,NA,NA,"par"
