Measurement Name :,05_20231115_Plate05__SDR641_27C,,Generated On :,"15/11/2023, 21:51:28",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"15/11/2023, 21:08:59",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"15/11/2023, 21:51:12",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,30, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.34,45.24,45.16,45.19,45.26,45.2,45.19,45.1,45.41,45.31,45.14,45.1,45.34,45.24,45.23,45.22,45.23,45.39,45.22,45.59,45.25,45.35,45.2,45.07,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
15.11.23 21:09:01,0.03,186.41,118.81,187.78,132.42,109.37,197.5,143.69,155.35,171.39,194.17,197.13,178.09,196.62,111.24,189.76,147.66,200.68,189.79,191.15,187.25,185.35,92.14,188.08,162.31,,33,965,36,30.38,
15.11.23 21:09:16,0.28,169.11,117.4,172.02,127.09,106.03,193.71,134.07,158.59,165.02,193.69,176.07,189.32,197.1,106.92,188.82,129.85,197.33,174.13,200.18,197.2,194.99,99.27,189.71,160.79,,33,965,36,30.43,
15.11.23 21:09:31,0.53,187.82,113.42,185.23,130.98,106.23,192.29,137.39,153.85,163.67,196.8,195.71,182.87,190.42,111.05,187.89,133.98,198.77,183.42,195.64,196.22,207.03,93.67,187.84,151.33,,33,965,36,30.49,
15.11.23 21:09:46,0.78,196.38,116.8,185.7,129.54,107.4,199.17,140.32,153.42,171.16,198.48,183.6,180.13,200.72,111.64,188.59,133.77,195.19,182.72,189.28,203.87,216.9,101.22,185.75,161.44,,33,965,36,30.53,
15.11.23 21:10:01,1.03,196.14,115.61,190.82,128.32,112.93,201.81,148.14,160.33,167.97,204.04,199.27,176.73,200,111.64,200.68,129.03,195.19,187.89,179.08,200.89,196.66,106.91,193.95,165.81,,33,965,36,30.58,
15.11.23 21:10:16,1.28,207.07,115.21,191.99,134.69,109.56,205.19,151.57,162.95,173.68,210.17,189.38,178.99,204.37,116.01,189.76,134.39,197.81,188.37,193.75,200.4,200.49,99.47,197.03,186.04,,33,965,36,30.61,
15.11.23 21:10:31,1.53,208.79,120.82,189.18,137.6,105.25,193.95,146.23,162.29,172.53,202.58,196.42,185.39,207.07,112.03,183.01,132.53,191.17,191.46,174.07,200.4,186.75,103.37,206.88,158.19,,33,965,36,30.65,
15.11.23 21:10:46,1.78,201.69,114.81,196.46,126.48,104.47,200.37,138.22,161.2,160.3,202.83,194.77,181.72,193.51,110.85,194.24,128.42,181.85,195.53,183.69,191.35,201.94,91.37,192.77,151.97,,33,965,36,30.68,
15.11.23 21:11:01,2.03,194.47,118.61,182.24,136.56,105.25,200.13,142.21,158.37,173.68,205.51,193.12,191.65,209.78,109.86,199.48,136.06,193.29,190.27,198.26,192.32,198.81,95.02,191.35,164.06,,33,965,36,30.68,
15.11.23 21:11:16,2.28,197.58,105.75,189.65,132.01,109.56,204.46,140.32,151.07,164.57,202.83,182.91,183.32,201.69,106.92,204.3,133.36,186.49,197.7,188.57,191.11,222.91,106.72,214.23,179.65,,33,965,36,30.72,
15.11.23 21:11:31,2.53,185.94,118.21,185.93,135.93,106.81,201.09,138.85,151.71,161.87,207.95,197.37,199.89,205.35,112.23,197.81,138.77,200.92,187.89,198.74,197.94,197.86,98.11,195.37,162.75,,33,965,36,30.74,
15.11.23 21:11:46,2.78,206.82,105.75,186.62,127.7,89.72,189.48,135.73,151.49,165.02,198.48,181.99,162.51,202.42,98.79,182.54,130.26,187.89,180.38,199.22,197.69,195.71,98.88,184.82,162.75,,33,965,36,30.76,
15.11.23 21:12:01,3.03,186.88,104.97,179.95,124.05,93.12,193,127.3,140.54,166.83,197.76,185.67,192.81,207.07,105.17,144.66,130.88,190,182.48,194.46,208.12,197.14,95.98,198.69,160.35,,33,965,36,30.78,
15.11.23 21:12:16,3.28,188.76,114.81,170.01,125.67,104.47,204.94,138.22,166.91,165.02,198.24,199.74,180.36,201.94,106.34,189.29,126.78,189.53,173.44,186.71,192.81,206.55,98.49,187.84,162.09,,33,965,36,30.79,
