Measurement Name :,04_20231115_Plate04__SDR710_27C,,Generated On :,"15/11/2023, 18:43:45",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
15.11.23 18:03:52,0.03,174.49,168.05,169.65,181.77,166.9,161.5,172.02,186.64,165.09,159.16,171.37,175.86,144.54,169.87,158.93,176.47,172.75,172.61,165.11,161.48,152.98,170.31,168,173.53,,27,965,36,27.96,
15.11.23 18:04:07,0.28,164.48,162.38,168.47,176.43,167.85,172.75,171.06,184.88,168.66,162.41,161.89,168.39,148.16,166.1,163.64,174.47,169.4,172.86,170.83,168.57,155.93,174.47,167.76,172.06,,27,965,36,27.99,
15.11.23 18:04:22,0.53,171.85,164.26,175.58,178.12,161.72,162.2,182.47,182.38,173.22,160.55,166.84,177.32,156.88,166.34,164.36,181.26,169.16,170.4,164.63,168.33,160.5,170.31,164.91,163.61,,27,965,36,28.02,
15.11.23 18:04:37,0.78,177.87,167.34,172.96,177.88,169.51,168.5,174.19,186.13,158.48,157.78,159.31,175.86,154.57,166.34,164.59,176.47,168.68,173.11,172.27,166.85,151.39,172.51,167.76,174.02,,27,965,36,28.03,
15.11.23 18:04:52,1.03,180.55,176.19,174.63,178.61,176.45,168.74,172.02,186.64,177.34,164.5,169.94,183.45,163.4,167.98,171.04,183.29,176.14,179.57,177.84,167.34,163.27,174.22,169.91,179.42,,27,965,36,28.06,
15.11.23 18:05:08,1.3,170.18,179.34,186.69,169.95,172.61,177.52,186.42,190.92,171.54,174.88,169.7,180.99,158.97,167.75,161.05,184.56,180.52,172.61,174.44,171.79,163.5,177.18,168.95,178.68,,27,965,36,28.08,
15.11.23 18:05:23,1.55,173.29,176.43,179.42,187.66,176.69,172.28,176.13,189.15,168.9,174.4,171.85,182.46,152.96,170.11,162.93,184.3,175.89,181.07,172.27,172.53,162.12,174.71,170.38,176.96,,27,965,36,28.09,
15.11.23 18:05:38,1.8,171.85,180.55,182.8,173.78,172.85,167.1,170.1,189.41,172.5,174.4,174.25,180.25,163.4,165.63,163.64,177.47,178.32,179.32,170.35,168.82,163.97,175.45,177.13,177.7,,27,965,36,28.1,
15.11.23 18:05:53,2.05,181.03,174.98,179.9,193.12,174.29,175.84,183.21,192.19,173.71,178.95,172.81,178.79,163.17,177.73,175.63,189.42,180.52,177.82,175.17,177.26,165.59,179.4,172.3,180.91,,27,965,36,28.1,
15.11.23 18:06:08,2.3,169.22,178.61,170.36,179.34,172.85,169.92,166.51,179.15,170.1,165.2,164.95,173.92,155.26,167.75,169.12,173.47,169.87,170.64,170.35,166.85,162.81,171.53,172.54,169.39,,27,965,36,28.11,
15.11.23 18:06:23,2.55,171.37,165.68,181.11,177.88,173.57,169.68,179.29,183.88,164.14,166.37,166.84,183.94,157.11,167.75,162.93,174.47,174.68,172.12,170.83,170.8,160.73,175.7,169.19,176.71,,27,965,36,28.13,
15.11.23 18:06:38,2.8,180.3,174.26,172.25,178.85,171.89,168.27,177.34,185.38,172.5,164.97,166.37,184.19,152.27,167.51,168.17,174.72,181.74,173.11,168.2,161.97,162.12,166.67,169.67,169.88,,27,965,36,28.16,
15.11.23 18:06:53,3.05,159.78,167.1,181.11,175.71,170.94,172.75,172.02,182.38,176.61,171.55,161.18,180.5,160.37,167.98,159.63,181.51,171.07,167.7,172.75,164.65,159.13,169.58,168.47,174.02,,27,965,36,28.16,
15.11.23 18:07:08,3.3,165.19,168.29,182.08,169.24,167.37,162.89,176.85,179.4,162.25,169.43,168.98,175.38,159.9,164,160.1,172.22,180.52,173.35,163.69,169.81,159.59,173.49,167.05,168.42,,27,965,36,28.19,
15.11.23 18:07:23,3.55,168.74,169.95,173.68,172.1,176.21,162.2,177.1,184.13,165.56,172.98,165.9,182.46,158.04,163.76,160.81,179.49,176.62,178.57,173.24,162.7,162.12,174.71,169.43,179.92,,27,965,36,28.17,
15.11.23 18:07:38,3.8,176.9,175.95,185.96,179.09,172.85,172.52,173.46,189.15,170.58,170.61,173.77,187.16,162.7,173.67,172.97,181.51,179.3,171.38,166.06,165.14,162.12,176.44,175.67,178.44,,27,965,36,28.19,
15.11.23 18:07:53,4.05,170.41,176.43,192.59,186.43,181.78,174.65,190.39,198.06,183.95,177.51,182.74,181.48,163.17,171.76,162.46,189.42,183.95,175.83,174.93,177.26,165.12,178.16,171.58,180.17,,27,965,36,28.19,
15.11.23 18:08:08,4.3,174.73,179.82,189.14,178.85,176.21,174.89,188.4,192.7,167.23,181.36,172.33,175.62,162.7,170.82,170.32,186.09,184.69,179.32,172.03,179.02,167.92,175.21,169.43,178.44,,27,965,36,28.21,
15.11.23 18:08:23,4.55,177.39,164.97,189.14,182.99,176.93,172.99,182.23,189.91,169.62,176.79,171.13,182.22,162.7,177.01,163.88,184.3,183.21,171.38,174.68,173.52,162.12,177.18,167.05,178.44,,27,965,36,28.2,
15.11.23 18:08:38,4.8,167.08,172.34,183.29,182.5,169.03,165.46,174.19,185.13,166.75,163.11,169.46,180.5,154.34,166.57,166.97,180.5,182.23,175.58,176.86,165.87,156.16,175.21,162.08,181.65,,27,965,36,28.21,
15.11.23 18:08:53,5.05,178.84,174.02,201.06,177.4,174.29,171.57,179.78,183.63,174.91,172.27,168.98,176.59,158.27,170.34,167.45,182.27,183.21,174.1,166.3,169.07,162.35,175.7,174.23,181.9,,27,965,36,28.21,
15.11.23 18:09:08,5.3,168.51,168.05,184.26,179.09,169.98,159.65,184.2,178.66,166.99,176.55,171.85,178.79,156.19,166.34,163.17,177.98,184.69,174.1,165.35,167.1,158.67,177.18,166.1,173.04,,27,965,36,28.21,
15.11.23 18:09:23,5.55,176.42,168.52,185.96,177.4,175.25,166.39,183.7,196.27,171.3,176.55,169.22,183.45,162.7,170.58,167.45,185.83,194.9,175.58,173.24,171.79,162.81,178.16,173.5,179.67,,27,965,36,28.24,
15.11.23 18:09:38,5.8,175.7,171.86,185.23,177.16,175.01,172.99,177.1,186.89,166.75,179.67,173.05,181.97,162.47,172,165.54,183.03,185.43,176.58,175.41,166.61,160.5,178.16,167.76,180.41,,27,965,36,28.24,
15.11.23 18:09:53,6.05,173.05,170.43,190.86,178.12,169.75,175.13,179.53,191.68,168.9,177.99,177.39,181.48,154.34,169.16,163.17,179.99,182.48,172.37,173.24,168.57,160.73,171.04,172.54,178.19,,27,965,36,28.24,
15.11.23 18:10:08,6.3,179.33,165.92,184.99,183.97,177.42,168.74,178.56,189.66,174.19,183.53,178.36,183.69,166.23,164.93,170.08,182.78,189.15,178.82,171.07,177.76,165.36,176.93,178.83,180.17,,27,965,36,28.25,
15.11.23 18:10:23,6.55,169.22,155.85,178.94,180.31,170.7,166.16,177.34,189.15,175.4,173.69,175.94,182.22,155.49,170.58,161.52,180.25,185.43,173.85,167.72,167.59,161.19,175.7,164.44,172.31,,27,965,36,28.27,
15.11.23 18:10:38,6.8,172.81,173.3,177.02,175.47,167.61,169.68,179.05,187.14,174.19,163.57,162.83,178.54,154.34,167.04,167.21,178.48,187.16,179.07,172.27,168.33,160.05,177.42,166.33,178.93,,27,965,36,28.25,
15.11.23 18:10:53,7.05,171.13,158.87,188.16,178.37,178.14,166.39,177.83,189.66,164.61,168.25,181.52,183.2,156.88,164,164.59,180.5,183.71,172.61,169.16,164.41,159.59,172.02,166.1,172.55,,27,965,36,28.25,
15.11.23 18:11:08,7.3,165.19,166.86,180.87,177.16,165.48,167.56,168.42,176.44,163.43,174.88,168.03,177.57,150.21,170.11,162.93,174.47,175.89,172.61,160.15,164.65,154.56,172.51,153.68,175.98,,27,965,36,28.27,
15.11.23 18:11:23,7.55,180.3,176.43,194.82,184.71,183.98,182.57,185.43,189.66,181.74,175.12,176.9,188.4,166.23,168.45,174.9,184.56,196.16,177.07,178.57,173.77,163.04,175.7,175.67,185.14,,27,965,36,28.28,
15.11.23 18:11:38,7.8,170.18,175.95,176.54,173.3,174.05,172.04,178.31,187.14,169.38,171.79,177.15,189.65,161.53,176.05,171.28,181.76,186.17,172.37,171.79,169.07,162.81,173.24,166.1,176.47,,27,965,36,28.28,
15.11.23 18:11:53,8.05,176.66,172.82,189.88,174.02,173.33,163.13,177.83,185.13,167.71,177.51,173.77,178.05,163.4,175.1,164.83,176.47,182.23,174.34,170.59,165.63,157.07,172.75,166.57,175.24,,27,965,36,28.28,
15.11.23 18:12:08,8.3,168.03,166.63,184.74,174.02,175.01,171.57,202.51,191.43,174.67,174.4,162.83,184.93,161.53,174.62,170.56,179.74,191.89,182.08,169.63,173.52,161.19,178.41,170.14,177.94,,27,965,36,28.28,
15.11.23 18:12:23,8.55,167.56,166.15,181.35,175.71,172.61,160.34,182.23,184.38,162.48,178.23,165.42,179.03,159.67,168.69,155.19,175.72,185.93,169.91,161.56,159.54,160.73,171.29,164.2,176.71,,27,965,36,28.3,
15.11.23 18:12:38,8.8,176.9,176.19,190.12,185.94,174.53,172.52,183.95,184.63,177.1,180.39,177.87,186.17,164.11,172.71,169.84,187.37,188.4,178.82,179.3,170.3,163.73,174.47,168,176.22,,27,965,36,28.31,
15.11.23 18:12:53,9.05,170.65,170.43,193.83,173.3,172.85,163.36,175.88,185.38,164.61,174.64,187.41,184.43,166.23,167.98,166.73,183.29,195.4,172.86,173,170.55,160.27,173.49,172.54,181.41,,27,965,36,28.31,
15.11.23 18:13:08,9.3,167.56,171.38,191.35,174.02,176.93,167.8,182.96,182.63,167.23,179.43,156.52,182.95,158.5,161.9,162.93,171.72,182.72,171.14,168.68,163.43,154.11,174.96,165.86,180.66,,27,965,36,28.33,
15.11.23 18:13:23,9.55,171.61,163.56,185.47,174.5,166.43,169.92,182.23,188.9,164.14,174.4,168.74,174.41,159.2,165.87,159.16,177.72,191.14,169.42,165.82,167.34,159.59,165.95,163.49,171.58,,27,965,36,28.34,
15.11.23 18:13:38,9.8,178.11,176.67,201.81,187.66,180.32,175.37,196.92,193.97,175.88,194.32,166.61,196.68,173.11,175.33,172,189.67,196.91,189.16,181.01,181.03,161.89,184.88,178.1,185.64,,27,965,36,28.35,
15.11.23 18:13:53,10.05,166.37,175.95,190.62,182.02,168.56,174.89,186.17,191.94,174.91,178.47,180.3,179.52,158.04,168.22,173.45,184.81,193.14,175.34,168.68,173.27,162.35,180.39,174.71,186.89,,27,965,36,28.36,
15.11.23 18:14:08,10.3,176.18,172.58,197.31,186.92,179.59,171.33,182.72,191.18,174.67,180.39,171.85,187.41,160.6,169.63,169.84,186.6,197.67,174.1,174.68,169.07,162.81,177.67,175.19,182.15,,27,965,36,28.35,
15.11.23 18:14:23,10.55,170.41,182.26,196.56,180.31,171.17,178.72,187.41,192.7,172.26,175.6,169.22,185.67,165.99,167.51,162.46,184.3,184.69,174.59,169.16,167.84,157.75,177.42,168.23,177.94,,27,965,36,28.38,
15.11.23 18:14:38,10.8,172.57,177.16,193.08,179.09,187.91,170.62,190.39,192.95,176.13,176.55,175.94,192.15,160.6,165.63,174.9,179.49,192.64,171.38,173.48,168.33,160.96,177.67,171.58,186.14,,27,965,36,28.38,
15.11.23 18:14:53,11.05,178.11,172.58,193.58,176.43,175.97,174.65,180.27,192.19,172.5,174.64,165.42,184.19,160.6,164.93,162.23,178.73,189.4,164.78,176.14,165.14,157.07,176.19,167.05,174.02,,27,965,36,28.38,
15.11.23 18:15:08,11.3,165.42,160.97,192.84,191.38,181.78,163.36,188.4,183.88,170.1,179.67,164.95,193.91,168.83,174.14,164.36,183.03,193.14,177.07,175.17,170.8,158.9,177.18,170.62,181.16,,27,965,36,28.38,
15.11.23 18:15:23,11.55,173.53,167.34,198.3,187.42,185.94,172.04,192.89,187.14,172.26,183.29,174.01,188.65,165.28,171.53,175.39,186.6,197.67,178.82,171.07,170.8,164.89,176.68,173.5,183.89,,27,965,36,28.38,
15.11.23 18:15:38,11.8,177.87,182.02,202.32,183.73,180.32,174.18,194.4,188.4,168.42,179.67,182.01,190.65,163.64,173.19,169.6,186.85,197.92,182.83,175.65,169.07,157.98,174.96,179.8,185.64,,27,965,36,28.39,
15.11.23 18:15:53,12.05,164.24,173.3,193.33,185.45,176.69,163.36,191.39,191.43,172.02,182.81,177.63,186.91,161.77,170.11,167.21,180.5,190.89,173.85,172.27,169.56,160.05,177.67,169.43,178.93,,27,965,36,28.42,
15.11.23 18:16:08,12.3,167.56,173.78,192.84,182.99,171.41,168.97,189.65,179.9,165.09,184.5,169.46,181.97,164.58,165.87,168.17,183.03,196.41,167.7,167.49,168.33,151.85,171.78,169.91,174.51,,27,965,36,28.42,
15.11.23 18:16:23,12.55,166.13,160.74,196.31,183.24,175.49,175.13,181.74,183.88,166.28,179.67,170.65,181.48,158.27,162.13,167.45,178.98,184.69,172.86,165.58,163.19,150.72,169.58,166.1,171.82,,27,965,36,28.42,
15.11.23 18:16:38,12.8,167.32,172.58,193.83,176.43,172.85,172.99,190.64,185.13,159.19,176.07,169.7,188.65,160.83,165.87,166.5,186.34,197.92,170.64,170.11,166.85,153.88,178.41,171.1,173.53,,27,965,36,28.42,
15.11.23 18:16:53,13.05,184.7,168.52,201.56,179.82,185.7,171.33,201.74,188.15,172.5,184.26,181.03,191.65,167.88,166.81,170.8,189.16,205.57,186.11,176.86,181.28,160.27,183.88,170.38,184.64,,27,965,36,28.44,
15.11.23 18:17:08,13.3,181.52,186.43,199.81,179.34,185.94,174.18,191.39,189.91,164.61,185.48,176.42,189.15,166.7,170.34,170.56,181.51,197.92,173.11,173.48,177.01,164.2,170.8,172.54,181.9,,27,965,36,28.45,
15.11.23 18:17:23,13.55,174.01,167.1,207.38,181.28,182.76,167.1,190.39,185.63,176.37,187.92,163.06,183.69,168.35,173.9,161.75,177.98,197.42,178.57,167.01,168.33,160.5,173.49,172.78,175.73,,27,965,36,28.45,
15.11.23 18:17:38,13.8,170.41,158.64,196.81,174.5,184.96,160.81,188.65,180.14,170.58,179.19,169.94,185.42,168.83,168.69,169.6,184.81,190.14,171.87,172.03,166.61,162.81,175.94,171.1,176.22,,27,965,36,28.45,
15.11.23 18:17:53,14.05,171.37,169.71,197.06,178.61,180.81,177.28,198.19,179.4,178.07,185.48,165.9,186.66,175.75,168.69,167.21,179.99,198.18,180.32,175.89,171.04,162.58,177.18,175.67,179.18,,27,965,36,28.46,
15.11.23 18:18:08,14.3,174.01,184.22,198.05,179.34,178.38,166.16,195.66,196.53,175.16,182.81,174.01,192.65,174.55,170.82,175.63,184.3,202.24,180.07,172.03,171.29,167.22,175.45,172.3,186.14,,27,965,36,28.46,
15.11.23 18:18:23,14.55,176.66,190.63,195.07,186.18,181.05,182.57,196.92,184.63,168.18,185.48,181.77,190.15,171.2,169.87,172,185.07,205.83,174.84,175.41,174.27,163.97,180.89,176.16,182.65,,27,965,36,28.48,
15.11.23 18:18:38,14.8,172.81,174.26,201.56,176.67,174.77,168.03,185.43,184.88,165.33,178.95,160.25,191.15,160.6,159.12,167.69,187.11,196.91,171.87,173.24,162.94,158.67,175.7,166.33,177.45,,27,965,36,28.49,
15.11.23 18:18:53,15.05,173.77,174.74,203.07,182.02,177.66,162.89,194.9,192.95,171.54,177.99,169.94,186.66,169.78,170.58,168.64,185.58,189.65,176.08,177.84,175.02,157.3,174.71,178.83,173.77,,27,965,36,28.49,
15.11.23 18:19:08,15.3,168.03,172.82,196.06,178.12,168.32,177.52,196.16,191.18,168.66,182.56,172.57,188.4,168.83,173.43,168.41,177.22,196.91,178.57,173.96,173.52,160.96,180.39,173.98,180.91,,27,965,36,28.49,
15.11.23 18:19:23,15.55,170.65,172.82,207.64,175.47,171.17,168.5,193.65,188.9,166.75,171.08,180.3,188.9,166.46,163.53,169.36,172.72,192.89,172.86,169.16,165.38,157.75,173.98,166.1,178.19,,27,965,36,28.49,
15.11.23 18:19:38,15.8,175.94,186.68,201.06,182.02,190.13,172.99,193.4,191.43,178.8,185.72,183.48,193.4,169.54,170.11,173.21,193.03,201.73,182.58,181.25,174.77,162.81,184.88,177.85,186.14,,27,965,36,28.52,
15.11.23 18:19:53,16.05,176.18,180.31,193.08,179.58,176.93,168.03,195.41,184.88,175.16,177.75,171.85,188.9,166.46,165.87,168.64,180.5,196.66,172.37,177.59,173.27,160.27,178.66,176.88,186.39,,27,965,36,28.52,
15.11.23 18:20:08,16.3,180.55,171.38,202.82,178.37,175.49,174.18,189.89,177.42,165.8,180.39,174.97,195.92,162.47,166.1,166.73,178.73,197.92,173.85,168.68,169.07,154.34,173.73,168.95,179.92,,27,965,36,28.53,
15.11.23 18:20:23,16.55,171.37,177.64,199.56,169.48,176.93,164.99,199.45,183.63,166.51,183.05,168.27,189.4,157.58,168.45,166.02,175.47,191.64,170.64,174.68,174.77,156.16,172.02,166.33,176.47,,27,965,36,28.53,
15.11.23 18:20:38,16.8,170.18,175.47,205.6,183.73,180.57,166.63,191.89,190.67,168.66,188.41,177.39,194.66,159.9,172.48,169.6,183.29,199.95,183.58,174.68,167.59,158.67,174.47,172.06,183.14,,27,965,36,28.53,
15.11.23 18:20:53,17.05,168.27,175.95,200.31,177.88,184.96,170.15,194.9,178.16,177.58,181.84,170.65,196.93,165.52,171.53,166.97,181.26,195.65,173.35,171.07,166.85,160.73,180.64,165.62,175.98,,27,965,36,28.53,
15.11.23 18:21:08,17.3,176.18,182.99,189.14,180.8,181.54,171.81,196.42,188.9,178.8,183.53,174.25,194.16,163.64,173.43,168.17,186.34,199.95,176.58,169.63,171.04,164.43,176.93,174.71,179.18,,27,965,36,28.53,
15.11.23 18:21:23,17.55,174.01,179.58,199.05,182.75,181.3,176.32,189.65,198.58,173.22,186.94,173.77,192.9,161.77,172,172.73,182.02,190.64,179.82,174.93,165.14,160.96,178.91,172.78,176.47,,27,965,36,28.55,
15.11.23 18:21:38,17.8,163.77,170.91,202.32,167.34,179.35,169.68,185.18,185.38,164.85,177.03,160.25,192.65,153.88,172.71,168.17,173.72,188.4,167.46,166.3,158.33,159.82,173,166.33,174.75,,27,965,36,28.56,
15.11.23 18:21:53,18.05,183.97,173.06,202.57,185.94,188.16,181.6,194.4,194.48,177.83,182.32,184.21,203.81,170.25,173.19,179.28,185.07,196.66,180.07,171.07,173.03,163.73,180.14,176.64,183.89,,27,965,36,28.56,
15.11.23 18:22:08,18.3,161.42,175.95,210.44,174.02,181.05,172.52,197.43,180.64,177.83,175.36,172.09,196.43,167.64,172.24,170.32,177.98,199.95,178.57,173.48,170.05,162.12,175.7,170.38,184.89,,27,965,36,28.56,
15.11.23 18:22:23,18.55,173.05,178.61,186.69,174.74,184.22,171.57,193.4,183.88,164.38,189.39,171.61,197.19,170.25,164.7,166.5,181.51,197.92,172.37,174.93,171.29,158.44,181.88,173.02,182.4,,27,965,36,28.58,
15.11.23 18:22:38,18.8,175.45,169.95,205.35,180.31,192.37,177.76,197.93,191.94,181.98,190.61,178.36,202.02,163.4,182.07,171.76,183.54,202.24,183.08,180.76,183.05,162.58,182.88,176.4,179.18,,27,965,36,28.58,
15.11.23 18:22:53,19.05,169.46,182.02,208.91,176.91,185.45,176.08,196.67,198.32,178.31,181.11,179.09,190.65,162.94,165.87,169.84,190.19,202.75,182.58,172.27,174.52,158.9,183.63,172.78,180.66,,27,965,36,28.59,
15.11.23 18:23:08,19.3,174.49,172.1,199.05,178.37,188.4,163.13,201.23,194.48,173.46,184.99,182.99,193.15,164.58,172.95,171.04,181,192.89,179.32,171.07,171.79,158.9,178.66,166.1,179.67,,27,965,36,28.59,
15.11.23 18:23:23,19.55,172.57,172.1,200.81,174.98,182.03,178.96,199.45,193.97,171.78,180.15,174.49,196.18,169.78,168.93,171.04,172.72,195.15,181.82,172.27,172.28,161.66,181.64,168.71,181.16,,27,965,36,28.6,
15.11.23 18:23:38,19.8,162.59,173.78,204.08,172.34,184.71,162.43,196.67,192.19,180.02,184.75,166.84,199.22,162.47,182.8,173.94,182.78,202.75,176.33,177.84,172.78,164.2,178.16,168.95,181.65,,27,965,36,28.6,
15.11.23 18:23:53,20.05,167.32,166.39,204.08,174.26,180.32,173.7,204.3,182.13,170.82,184.99,172.81,185.67,165.99,170.58,168.88,183.54,192.14,182.83,172.27,166.36,160.73,174.47,168.95,180.91,,27,965,36,28.6,
15.11.23 18:24:08,20.3,179.57,179.58,204.59,185.2,188.65,177.04,205.33,192.95,181.49,189.14,175.7,203.04,171.2,183.52,174.9,190.45,203.01,178.32,181.99,178.52,162.58,186.13,177.37,183.89,,27,965,36,28.6,
15.11.23 18:24:23,20.55,161.42,168.76,188.9,176.19,184.22,177.04,195.91,182.63,175.88,185.48,168.98,194.91,168.35,169.16,166.97,178.73,199.95,170.64,170.59,173.03,163.04,175.94,162.31,176.22,,27,965,36,28.63,
15.11.23 18:24:38,20.8,173.53,169.95,207.38,182.99,190.13,171.57,199.2,191.68,171.3,180.15,182.01,194.16,171.44,171.29,177.09,182.02,204.54,177.57,175.17,171.04,161.66,182.13,171.34,180.66,,27,965,36,28.63,
15.11.23 18:24:53,21.05,173.77,176.43,203.58,176.67,183.98,175.37,199.2,188.65,175.88,184.99,175.94,194.16,171.44,173.19,170.32,184.05,204.54,178.82,175.65,171.54,163.97,180.39,174.23,181.65,,27,965,36,28.63,
15.11.23 18:25:08,21.3,173.29,176.19,203.83,176.67,183.74,175.13,199.45,188.65,175.88,185.23,175.7,193.4,170.25,172.24,170.08,183.79,203.26,178.82,175.89,171.79,163.97,179.65,174.23,181.16,,27,965,36,28.6,
15.11.23 18:25:23,21.55,173.29,175.71,203.33,176.43,183.98,175.13,199.45,188.65,175.64,184.75,175.21,193.91,170.25,172.71,169.84,183.29,203.01,178.57,175.65,172.03,163.73,180.14,173.98,181.41,,27,965,36,28.59,
15.11.23 18:25:38,21.8,173.53,175.47,202.32,176.91,184.22,174.42,198.95,187.64,175.16,184.26,175.21,192.9,170.25,172.48,169.12,183.29,202.24,178.57,175.65,171.79,163.5,179.65,173.74,180.66,,27,965,36,28.56,
15.11.23 18:25:53,22.05,173.05,175.47,201.81,177.16,184.22,175.13,197.93,188.65,175.4,183.29,175.45,192.9,168.83,172.48,169.84,183.03,201.73,178.82,175.41,171.54,163.5,179.65,173.5,180.66,,27,965,36,28.55,
15.11.23 18:26:08,22.3,173.29,175.71,200.56,176.43,183.25,174.65,196.92,187.89,174.67,182.56,175.21,192.4,168.35,171.76,169.12,182.78,199.7,178.57,174.68,171.54,162.81,179.15,173.5,180.66,,27,965,36,28.53,
15.11.23 18:26:23,22.55,173.77,175.95,200.31,176.91,184.47,174.89,196.67,188.15,175.64,182.32,175.21,192.65,168.12,172.48,168.41,183.03,199.19,178.57,175.65,172.03,163.27,179.4,173.98,180.66,,27,965,36,28.53,
15.11.23 18:26:38,22.8,173.05,175.47,198.3,176.19,183.25,174.89,196.92,188.4,175.4,181.84,174.97,191.65,167.17,172.24,168.88,183.03,197.67,178.32,175.41,171.54,163.27,179.15,173.5,180.41,,27,965,36,28.5,
15.11.23 18:26:53,23.05,173.29,174.5,196.81,176.91,183.25,175.13,195.91,188.4,175.16,181.36,174.73,191.9,166.7,172,168.64,182.78,196.41,178.07,175.17,171.79,163.04,178.66,173.5,180.17,,27,965,36,28.5,
15.11.23 18:27:08,23.3,172.81,175.47,195.07,176.43,183.25,174.89,194.9,187.64,175.16,179.67,174.25,191.65,166.23,171.76,167.21,182.02,195.91,178.07,174.68,171.29,163.5,178.41,173.26,179.67,,27,965,36,28.49,
15.11.23 18:27:23,23.55,172.57,174.74,194.07,175.95,183.25,174.18,194.65,187.39,174.91,179.43,174.01,190.65,165.52,171.76,166.5,181.76,195.4,177.82,174.93,171.04,163.04,178.66,173.26,179.42,,27,965,36,28.46,
15.11.23 18:27:38,23.8,173.29,174.74,194.32,176.19,183.49,174.65,194.65,187.39,175.16,178.71,174.25,191.15,165.05,171.76,166.97,182.02,194.4,178.07,174.68,171.04,163.27,178.41,173.26,179.42,,27,965,36,28.46,
15.11.23 18:27:53,24.05,173.29,174.98,192.59,175.95,182.03,174.65,193.65,187.39,174.67,177.75,174.73,191.15,163.87,171.76,167.21,182.02,193.14,177.82,174.68,170.55,163.27,178.41,173.26,179.67,,27,965,36,28.44,
15.11.23 18:28:08,24.3,173.29,174.74,191.35,176.19,182.51,174.18,192.39,187.39,174.91,177.27,173.77,190.65,163.64,171.29,166.26,181.76,191.89,177.57,174.68,170.8,162.81,178.16,172.78,178.93,,27,965,36,28.42,
15.11.23 18:28:23,24.55,172.81,174.98,189.88,176.43,182.27,174.42,192.64,187.39,174.67,176.79,173.77,190.15,163.4,171.76,165.54,181.76,190.39,177.57,174.68,170.55,162.81,177.92,173.26,179.18,,27,965,36,28.42,
