sample_id,species,lifestage,diameter,Temp.Cat,Run,Date,notes
ACR-A-1,Acropora,Adult,,27,,,
ACR-A-2,Acropora,Adult,,27,,,
ACR-A-3,Acropora,Adult,,27,,,
ACR-A-4,Acropora,Adult,,27,,,
ACR-A-5,Acropora,Adult,,27,,,
ACR-R-1,Acropora,Recruit,,27,,,
ACR-R-2,Acropora,Recruit,,27,,,
ACR-R-3,Acropora,Recruit,,27,,,
ACR-R-4,Acropora,Recruit,,27,,,
ACR-R-5,Acropora,Recruit,,27,,,
ACR-R-6,Acropora,Recruit,,27,,,
ACR-R-7,Acropora,Recruit,,27,,,
ACR-R-8,Acropora,Recruit,,27,,,
ACR-R-9,Acropora,Recruit,,27,,,
ACR-R-10,Acropora,Recruit,,27,,,
POC-A-1,Pocillopora,Adult,,27,,,
POC-A-2,Pocillopora,Adult,,27,,,
POC-A-3,Pocillopora,Adult,,27,,,
POC-A-4,Pocillopora,Adult,,27,,,
POC-A-5,Pocillopora,Adult,,27,,,
POC-R-1,Pocillopora,Recruit,,27,,,
POC-R-2,Pocillopora,Recruit,,27,,,
POC-R-3,Pocillopora,Recruit,,27,,,
POC-R-4,Pocillopora,Recruit,,27,,,
POC-R-5,Pocillopora,Recruit,,27,,,
POC-R-6,Pocillopora,Recruit,,27,,,
POC-R-7,Pocillopora,Recruit,,27,,,
POC-R-8,Pocillopora,Recruit,,27,,,
POC-R-9,Pocillopora,Recruit,,27,,,
POC-R-10,Pocillopora,Recruit,,27,,,
POR-A-1,Porites,Adult,,27,,,
POR-A-2,Porites,Adult,,27,,,
POR-A-3,Porites,Adult,,27,,,
POR-A-4,Porites,Adult,,27,,,
POR-A-5,Porites,Adult,,27,,,
POR-R-1,Porites,Recruit,,27,,,
POR-R-2,Porites,Recruit,,27,,,
POR-R-3,Porites,Recruit,,27,,,
POR-R-4,Porites,Recruit,,27,,,
POR-R-5,Porites,Recruit,,27,,,
POR-R-6,Porites,Recruit,,27,,,
POR-R-7,Porites,Recruit,,27,,,
POR-R-8,Porites,Recruit,,27,,,
POR-R-9,Porites,Recruit,,27,,,
POR-R-10,Porites,Recruit,,27,,,
