original,file,uw hyak,same?
3d0cb428a2d7364c7c29272117ee5443,26_S937_R1_001.fastq.gz,3d0cb428a2d7364c7c29272117ee5443,TRUE
93605861d3459eb0df5efca8d0177dee,26_S937_R2_001.fastq.gz,93605861d3459eb0df5efca8d0177dee,TRUE
36c7525a2062668d1e7b6a1c93867315,27_S148_R1_001.fastq.gz,36c7525a2062668d1e7b6a1c93867315,TRUE
53713eb87815fc28edae8e2a1c6c506e,27_S148_R2_001.fastq.gz,53713eb87815fc28edae8e2a1c6c506e,TRUE
43686b6cdbc49c5ef0ce99a81d188b3c,27_S938_R1_001.fastq.gz,43686b6cdbc49c5ef0ce99a81d188b3c,TRUE
923f913435a25d27ffb6415e6e24989c,27_S938_R2_001.fastq.gz,923f913435a25d27ffb6415e6e24989c,TRUE
85f4065f39676fb06e5e20f7ac745fc7,28_S149_R1_001.fastq.gz,85f4065f39676fb06e5e20f7ac745fc7,TRUE
ac249dd15dc9abf78e64df774bcde58e,28_S149_R2_001.fastq.gz,ac249dd15dc9abf78e64df774bcde58e,TRUE
9c6a66baaa27598e8208d9bf2a16ccc9,28_S939_R1_001.fastq.gz,9c6a66baaa27598e8208d9bf2a16ccc9,TRUE
2c7b33d3ed257effbe4111c3c6578df8,28_S939_R2_001.fastq.gz,2c7b33d3ed257effbe4111c3c6578df8,TRUE
88f878f1a1fc43b0b3d8f0ee177f178b,29_S150_R1_001.fastq.gz,88f878f1a1fc43b0b3d8f0ee177f178b,TRUE
5a7927bc9b117f40cf75b104af8cc00e,29_S150_R2_001.fastq.gz,5a7927bc9b117f40cf75b104af8cc00e,TRUE
12ba2ffebf63c05fc5b1c83cd2e1f020,29_S940_R1_001.fastq.gz,12ba2ffebf63c05fc5b1c83cd2e1f020,TRUE
8cda015da1e755f4a1b4c82943096d2c,29_S940_R2_001.fastq.gz,8cda015da1e755f4a1b4c82943096d2c,TRUE
71e7211839521d46263efa4e21a8fd2e,2_S123_R1_001.fastq.gz,71e7211839521d46263efa4e21a8fd2e,TRUE
12155ac009e83bf87d9e04a1f6d07f1d,2_S123_R2_001.fastq.gz,12155ac009e83bf87d9e04a1f6d07f1d,TRUE
469f0032299bd081806ebd763244e68a,2_S913_R1_001.fastq.gz,469f0032299bd081806ebd763244e68a,TRUE
8985d2198a0919973407e99acecdb328,2_S913_R2_001.fastq.gz,8985d2198a0919973407e99acecdb328,TRUE
136a93fd9e25645ea294c56079aa9624,30_S151_R1_001.fastq.gz,136a93fd9e25645ea294c56079aa9624,TRUE
654829f365ec318326b8c1c6f646ee6c,30_S151_R2_001.fastq.gz,654829f365ec318326b8c1c6f646ee6c,TRUE
cf152cf10dfcc2688d8f139ab284d481,30_S941_R1_001.fastq.gz,cf152cf10dfcc2688d8f139ab284d481,TRUE
f41047b14bc3954976b87d2bf6166d04,30_S941_R2_001.fastq.gz,f41047b14bc3954976b87d2bf6166d04,TRUE
4bc5503162b7c7c3ca58335729e67c41,31_S152_R1_001.fastq.gz,4bc5503162b7c7c3ca58335729e67c41,TRUE
5646b9d5fc267f2d8a5ccc76cac5f20c,31_S152_R2_001.fastq.gz,5646b9d5fc267f2d8a5ccc76cac5f20c,TRUE
37315cbd2080b1214a8ad688b162402c,31_S942_R1_001.fastq.gz,37315cbd2080b1214a8ad688b162402c,TRUE
0b8927f382361c7f588586e09dc6608f,31_S942_R2_001.fastq.gz,0b8927f382361c7f588586e09dc6608f,TRUE
e4da52819e1cf48bcaa0910b1f24650e,32_S153_R1_001.fastq.gz,e4da52819e1cf48bcaa0910b1f24650e,TRUE
035da3537b22696727642ee56702ac5c,32_S153_R2_001.fastq.gz,035da3537b22696727642ee56702ac5c,TRUE
fed00ff1ba2f06af852edaafa26b0b7e,32_S943_R1_001.fastq.gz,fed00ff1ba2f06af852edaafa26b0b7e,TRUE
46b38ae49e2178e966dcbc88bf63383d,32_S943_R2_001.fastq.gz,46b38ae49e2178e966dcbc88bf63383d,TRUE
b3f2830d91111290fb2c21e4e8bdbe20,33_S154_R1_001.fastq.gz,b3f2830d91111290fb2c21e4e8bdbe20,TRUE
ffc3df425eb088de1f5695190eed1a0c,33_S154_R2_001.fastq.gz,ffc3df425eb088de1f5695190eed1a0c,TRUE
d7813fa1eae0724b510422f894061c07,33_S944_R1_001.fastq.gz,d7813fa1eae0724b510422f894061c07,TRUE
fd9223a70b7ee8892a0cc7d8f00038d2,33_S944_R2_001.fastq.gz,fd9223a70b7ee8892a0cc7d8f00038d2,TRUE
8b32ef09f5d22606c712e889ec812ee4,34_S155_R1_001.fastq.gz,8b32ef09f5d22606c712e889ec812ee4,TRUE
479aa28f1fae84e738dca4bf80ea62f9,34_S155_R2_001.fastq.gz,479aa28f1fae84e738dca4bf80ea62f9,TRUE
a61cc5ddbdee3d220fbd7c344d29521d,34_S945_R1_001.fastq.gz,a61cc5ddbdee3d220fbd7c344d29521d,TRUE
3c3ac2cc7a87d32b0d1203018e7a7a57,34_S945_R2_001.fastq.gz,3c3ac2cc7a87d32b0d1203018e7a7a57,TRUE
d66407060815933117f08a3900150966,35_S156_R1_001.fastq.gz,d66407060815933117f08a3900150966,TRUE
2fe640c5ad8fb51f0a40ed0be87c3145,35_S156_R2_001.fastq.gz,2fe640c5ad8fb51f0a40ed0be87c3145,TRUE
6cabc7b57e38f6654bf6acda24e099a8,35_S946_R1_001.fastq.gz,6cabc7b57e38f6654bf6acda24e099a8,TRUE
30307a4f08bccddc4aad2c3701b8af8e,35_S946_R2_001.fastq.gz,30307a4f08bccddc4aad2c3701b8af8e,TRUE
5b90459e72eb0934ddb5fa23289f1e80,36_S157_R1_001.fastq.gz,5b90459e72eb0934ddb5fa23289f1e80,TRUE
71a4b9a152a0e630a3f3aaa12f96c4ef,36_S157_R2_001.fastq.gz,71a4b9a152a0e630a3f3aaa12f96c4ef,TRUE
4352a52b1bdc4a8f7770775588c35bf9,36_S947_R1_001.fastq.gz,4352a52b1bdc4a8f7770775588c35bf9,TRUE
f9bc31662a0be77f323cbbde54bc0a48,36_S947_R2_001.fastq.gz,f9bc31662a0be77f323cbbde54bc0a48,TRUE
cbde52b289b4a7a1dfadbf9022c78ec6,37_S158_R1_001.fastq.gz,cbde52b289b4a7a1dfadbf9022c78ec6,TRUE
055487d8076a4373447301ed4e269181,37_S158_R2_001.fastq.gz,055487d8076a4373447301ed4e269181,TRUE
9252f3fb6956d3efa6bea4f1a0c9d653,37_S948_R1_001.fastq.gz,9252f3fb6956d3efa6bea4f1a0c9d653,TRUE
6fb4ac42909e80795f9d589fee9347ab,37_S948_R2_001.fastq.gz,6fb4ac42909e80795f9d589fee9347ab,TRUE
557cd534fc4d41ee2cf929642c44ded4,38_S159_R1_001.fastq.gz,557cd534fc4d41ee2cf929642c44ded4,TRUE
b8b30983de638d6ea69c2f80f55534ac,38_S159_R2_001.fastq.gz,b8b30983de638d6ea69c2f80f55534ac,TRUE
409522560f9e0526af436063cf737763,38_S949_R1_001.fastq.gz,409522560f9e0526af436063cf737763,TRUE
e9c7fd987fa1397496bd9c7cc20a3fee,38_S949_R2_001.fastq.gz,e9c7fd987fa1397496bd9c7cc20a3fee,TRUE
8b9200086ac4983d1b9d1ea976d59062,39_S160_R1_001.fastq.gz,8b9200086ac4983d1b9d1ea976d59062,TRUE
83d0548d48de1fadd1cf06c3e068b37e,39_S160_R2_001.fastq.gz,83d0548d48de1fadd1cf06c3e068b37e,TRUE
f74bfa4bee2265b54d7fff5d35980e73,39_S950_R1_001.fastq.gz,f74bfa4bee2265b54d7fff5d35980e73,TRUE
0d5f80bb90cfba71e4b19273c1a6cd6d,39_S950_R2_001.fastq.gz,0d5f80bb90cfba71e4b19273c1a6cd6d,TRUE
c1c6c461aed0844dd9ce1d855cd36238,3_S124_R1_001.fastq.gz,c1c6c461aed0844dd9ce1d855cd36238,TRUE
980fd0946c92b7b59a883b1324c96db0,3_S124_R2_001.fastq.gz,980fd0946c92b7b59a883b1324c96db0,TRUE
53c1aa3ec25a8a61be830eb832807616,3_S914_R1_001.fastq.gz,53c1aa3ec25a8a61be830eb832807616,TRUE
1b5036fa820f341630715be15b3c31a2,3_S914_R2_001.fastq.gz,1b5036fa820f341630715be15b3c31a2,TRUE
9ae9c7304cea6eb6f5251ebd3bfdee64,40_S161_R1_001.fastq.gz,9ae9c7304cea6eb6f5251ebd3bfdee64,TRUE
8e505f210030d7c6e6c4e3daaf6aadfb,40_S161_R2_001.fastq.gz,8e505f210030d7c6e6c4e3daaf6aadfb,TRUE
d137e6e49bf68612212aee32052d96fe,40_S951_R1_001.fastq.gz,d137e6e49bf68612212aee32052d96fe,TRUE
47c76e3b95f88335b339a2903e4a8789,40_S951_R2_001.fastq.gz,47c76e3b95f88335b339a2903e4a8789,TRUE
60e14488117c92a48527f05c749e10b1,41_S162_R1_001.fastq.gz,60e14488117c92a48527f05c749e10b1,TRUE
8913bcbbd78bb54f24ae5851625934c7,41_S162_R2_001.fastq.gz,8913bcbbd78bb54f24ae5851625934c7,TRUE
5d7b9b85906aaf6f0dad091f4e402eb8,41_S952_R1_001.fastq.gz,5d7b9b85906aaf6f0dad091f4e402eb8,TRUE
2c7f9683c24e88977aad0ca286d4da5f,41_S952_R2_001.fastq.gz,2c7f9683c24e88977aad0ca286d4da5f,TRUE
c2da5065292d5db7a074153d7d984b9e,42_S163_R1_001.fastq.gz,c2da5065292d5db7a074153d7d984b9e,TRUE
d84506ffff46adaaa1ac2f97747519d0,42_S163_R2_001.fastq.gz,d84506ffff46adaaa1ac2f97747519d0,TRUE
75b1b07ca2b9b15d14225eeb3c442fbc,42_S953_R1_001.fastq.gz,75b1b07ca2b9b15d14225eeb3c442fbc,TRUE
c0c4ff07e189171323dd7be596cad53a,42_S953_R2_001.fastq.gz,c0c4ff07e189171323dd7be596cad53a,TRUE
de2ef275e326fcf08fb6b81dc3a96229,43_S164_R1_001.fastq.gz,de2ef275e326fcf08fb6b81dc3a96229,TRUE
fac8af37e5eb422ba92aae912506a1b3,43_S164_R2_001.fastq.gz,fac8af37e5eb422ba92aae912506a1b3,TRUE
b6497e41ca9cf99b74b4adf032971d2d,43_S954_R1_001.fastq.gz,b6497e41ca9cf99b74b4adf032971d2d,TRUE
e1b0e5f02c76f06d5724e623301d65c1,43_S954_R2_001.fastq.gz,e1b0e5f02c76f06d5724e623301d65c1,TRUE
7cd0312a3316a98a0c796088ace50320,44_S165_R1_001.fastq.gz,7cd0312a3316a98a0c796088ace50320,TRUE
5b6af0dccea2c24ae7f98125f6c5c374,44_S165_R2_001.fastq.gz,5b6af0dccea2c24ae7f98125f6c5c374,TRUE
4f58abaf52a63746f8f708bf7a54472a,44_S955_R1_001.fastq.gz,4f58abaf52a63746f8f708bf7a54472a,TRUE
08c088f683f2f23a65e0c9f16e056589,44_S955_R2_001.fastq.gz,08c088f683f2f23a65e0c9f16e056589,TRUE
f060f17281541d234155fd19c907d17f,45_S166_R1_001.fastq.gz,f060f17281541d234155fd19c907d17f,TRUE
55c6d3abd3ac43a5570fdad549bf3c82,45_S166_R2_001.fastq.gz,55c6d3abd3ac43a5570fdad549bf3c82,TRUE
4d05d76b75c25cd5e6bd26cdd7b9ea46,45_S956_R1_001.fastq.gz,4d05d76b75c25cd5e6bd26cdd7b9ea46,TRUE
8733bd7aa3fe3c7af8f46b5b1426b692,45_S956_R2_001.fastq.gz,8733bd7aa3fe3c7af8f46b5b1426b692,TRUE
ebd7d7d5f99320a69ac5096ccf4c431d,46_S167_R1_001.fastq.gz,ebd7d7d5f99320a69ac5096ccf4c431d,TRUE
