Well,562:562
A1,2.03
B1,2.253
C1,1.024
D1,1
E1,0.452
F1,0.452
G1,1.349
H1,1.249
A2,1.811
B2,1.856
C2,1.24
D2,1.224
E2,0.709
F2,0.765
G2,0.26
H2,0.267
A3,1.377
B3,1.362
C3,1.101
D3,1.082
E3,0.624
F3,0.605
G3,1.573
H3,1.581
A4,1.149
B4,1.051
C4,1.11
D4,1.075
E4,1.398
F4,1.441
G4,0.539
H4,0.557
A5,0.775
B5,0.802
C5,0.696
D5,0.689
E5,0.335
F5,0.34
G5,0.268
H5,0.286
A6,0.473
B6,0.44
C6,1.031
D6,0.994
E6,0.864
F6,0.874
G6,1
H6,0.981
A7,0.261
B7,0.265
C7,1.371
D7,1.394
E7,1.263
F7,1.266
G7,0.654
H7,0.668
A8,0.12
B8,0.119
C8,0.294
D8,0.306
E8,0.943
F8,0.947
G8,1.405
H8,1.409
A9,0.091
B9,0.087
C9,1.671
D9,1.673
E9,1.047
F9,1.024
G9,0.995
H9,0.99
A10,1.799
B10,1.792
C10,1.301
D10,1.32
E10,0.838
F10,0.848
G10,1.015
H10,1.064
A11,1.833
B11,1.77
C11,1.318
D11,1.312
E11,1.155
F11,1.155
G11,1.421
H11,1.447
A12,2.513
B12,2.482
C12,1.679
D12,1.663
E12,1.176
F12,1.167
G12,0.567
H12,0.575
