Well,colony_id
A1,POC-A7
A2,ACR-R15
A3,ACR-R30
A4,POC-A16
A5,POR-R30
A6,POR-A14
A7,POC-R12
A8,ACR-A17
A9,POC-R20
A10,POC-R26
A11,POC-A8
A12,ACR-R24
B1,POC-A7
B2,ACR-R15
B3,ACR-R30
B4,POC-A16
B5,POR-R30
B6,POR-A14
B7,POC-R12
B8,ACR-A17
B9,POC-R20
B10,POC-R26
B11,POC-A8
B12,ACR-R24
C1,POC-R15
C2,ACR-R29
C3,POC-R23
C4,POR-R13
C5,ACR-A8
C6,POC-A13
C7,POR-A11
C8,ACR-R17
C9,ACR-R11
C10,POR-A9
C11,POC-R13
C12,POC-A6
D1,POC-R15
D2,ACR-R29
D3,POC-R23
D4,POR-R13
D5,ACR-A8
D6,POC-A13
D7,POR-A11
D8,ACR-R17
D9,ACR-R11
D10,POR-A9
D11,POC-R13
D12,POC-A6
E1,POR-R17
E2,ACR-A11
E3,ACR-A13
E4,POR-A13
E5,POR-R20
E6,POR-R27
E7,POC-A12
E8,POC-R28
E9,POC-A10
E10,ACR-R25
E11,POR-A17
E12,ACR-A12
F1,POR-R17
F2,ACR-A11
F3,ACR-A13
F4,POR-A13
F5,POR-R20
F6,POR-R27
F7,POC-A12
F8,POC-R28
F9,POC-A10
F10,ACR-R25
F11,POR-A17
F12,ACR-A12
G1,POC-R18
G2,POR-A8
G3,POR-R15
G4,StandardA
G5,StandardB
G6,StandardC
G7,StandardD
G8,StandardE
G9,StandardF
G10,StandardG
G11,StandardH
G12,StandardI
H1,POC-R18
H2,POR-A8
H3,POR-R15
H4,StandardA
H5,StandardB
H6,StandardC
H7,StandardD
H8,StandardE
H9,StandardF
H10,StandardG
H11,StandardH
H12,StandardI
