Well,colony_id
A1,POR-R24
A2,POR-R24
A3,ACR-A6
A4,ACR-A6
A5,NA
A6,NA
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,ACR-R22
B2,ACR-R22
B3,POR-A12
B4,POR-A12
B5,NA
B6,NA
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,POC-R24
C2,POC-R24
C3,POC-R30
C4,POC-R30
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,POR-A10
D2,POR-A10
D3,ACR-R12
D4,ACR-R12
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,POR-A10
E2,POR-A10
E3,ACR-R12
E4,ACR-R12
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,ACR-A16
F2,ACR-A16
F3,StandardA
F4,StandardD
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,POC-R22
G2,POC-R22
G3,StandardG
G4,StandardI
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,ACR-A15
H2,ACR-A15
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
