Well,562:562
A1,2.227
B1,2.186
C1,0.721
D1,0.738
E1,0.891
F1,0.899
G1,1.048
H1,0.971
A2,0.887
B2,0.905
C2,1.295
D2,1.312
E2,1.295
F2,1.305
G2,1.502
H2,1.542
A3,1.438
B3,1.412
C3,0.834
D3,0.816
E3,1.114
F3,1.132
G3,0.713
H3,0.686
A4,1.724
B4,1.723
C4,0.51
D4,0.527
E4,1.414
F4,1.618
G4,2.639
H4,3.646
A5,2.046
B5,2.134
C5,1.475
D5,1.504
E5,1.56
F5,1.533
G5,2.083
H5,1.974
A6,2.322
B6,2.291
C6,1.858
D6,1.849
E6,1.387
F6,1.328
G6,1.331
H6,1.506
A7,0.749
B7,0.711
C7,0.937
D7,0.923
E7,2.439
F7,2.495
G7,1.081
H7,1.132
A8,2.454
B8,2.48
C8,1.374
D8,1.358
E8,1.275
F8,1.256
G8,1.358
H8,0.796
A9,1.004
B9,0.978
C9,1.053
D9,1.081
E9,2.042
F9,2.01
G9,0.461
H9,0.466
A10,0.275
B10,0.266
C10,0.898
D10,0.861
E10,0.794
F10,0.795
G10,0.289
H10,0.286
A11,1.63
B11,1.555
C11,0.567
D11,0.569
E11,1.189
F11,1.113
G11,0.129
H11,0.128
A12,0.939
B12,0.923
C12,2.891
D12,2.859
E12,1.79
F12,1.853
G12,0.098
H12,0.098
